,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
Q5VT23_HUMAN,3.26738,3.31098,3.43487,3.75169,3.48195,2.97883,3.42634,3.26337,3.56287,3.18339,3.74667,3.86419,3.73051,3.46831,3.57239,3.3919,3.63679,3.42098,3.30146,2.56715,3.72157,3.51813
OR4F5,3.35862,3.75546,2.938,2.92501,2.53387,3.51797,3.37228,3.27526,3.19252,3.44663,2.80779,3.07994,3.42614,1.86125,3.07214,2.73488,2.8837,2.96667,2.53256,3.05385,3.44555,3.76532
OR4F29,2.68788333333333,2.33994333333333,2.52431333333333,2.61227666666667,2.47574333333333,2.39557333333333,2.59841333333333,2.75595666666667,2.40114,2.52980666666667,2.30505666666667,2.66504,2.44294666666667,2.28185333333333,2.25666333333333,2.31905666666667,2.66466333333333,2.35937,2.45019,2.50356333333333,2.22433,2.47729333333333
FAM87B,4.58252,4.71592,4.50663,4.513235,4.554375,4.625205,4.40226,4.48061,4.644575,4.54306,4.47177,4.841915,4.588365,4.401265,4.35569,4.52658,4.57743,4.69702,4.20161,4.668365,4.501275,4.63898
Q96BN7_HUMAN,1.73314,1.96198,2.15507,1.76464,1.63863,2.02989,1.84498,2.11186,1.79905,1.71487,1.77509,2.44675,1.94413,1.90734,1.98192,2.27814,2.00283,1.932,2.01787,2.41346,1.91396,1.76572
SAMD11,5.70784,5.75342,5.63815,5.62694,5.65093,5.58473,5.65017,5.62617,5.595,5.70909,5.73135,5.53802,5.65372,5.5392,5.61079,5.63539,5.61958,5.61842,5.5712,5.59464,5.71548,5.70484
KLHL17,5.62164,5.56233,5.47267,5.45066,5.56554,5.31502,5.56769,5.48599,5.45071,5.628,5.51664,5.40105,5.46696,5.48391,5.52925,5.4685,5.4806,5.59652,5.50315,5.44697,5.51302,5.50411
PLEKHN1,5.92913,5.95636,5.88725,5.82659,5.92737,5.77044,5.85892,5.87565,5.90106,5.9193,5.86352,5.82918,5.79849,5.87518,5.86205,5.61934,5.83065,5.87118,5.6636,5.78003,5.86236,5.96733
ISG15,6.17881,5.96225,5.83177,5.7045,5.72286,5.91777,6.54805,5.67597,5.86375,5.75008,5.94694,5.84716,5.76967,5.73127,5.98893,5.78239,5.73935,5.82291,5.87797,5.84403,5.78954,5.76627
AGRN,5.69623,5.68972,5.59502,5.55939,5.70452,5.55928,5.7598,5.5472,5.56147,5.70621,5.65175,5.56634,5.60197,5.58974,5.65746,5.52342,5.64316,5.62755,5.54346,5.55553,5.65857,5.68541
hsa-mir-429,2.43614,2.30539,2.44493,2.19859,2.30112,2.7892,2.50121,2.33755,2.36987,2.34662,2.48206,1.83427,2.4037,2.81398,2.0169,1.81736,2.79707,2.4852,2.33641,2.24874,2.46397,2.12244
TTLL10,5.23366,5.3072,5.12394,5.14481,5.30258,5.15554,5.16136,5.0767,5.15965,5.1793,5.22126,5.07718,5.04493,5.04975,5.06361,5.01898,5.13003,5.05103,4.98343,5.13779,5.152,5.28143
B3GALT6,5.65208,5.7223,5.74224,5.49116,5.60443,5.90379,5.63911,5.66979,5.63193,5.79227,5.64822,5.77132,5.87446,5.68445,5.84061,5.77402,5.79062,5.89797,5.6868,5.91385,5.73285,5.6549
SCNN1D,5.47992,5.5071,5.41818,5.43136,5.53779,5.43442,5.45797,5.44529,5.39557,5.45784,5.45122,5.33936,5.34845,5.43643,5.40081,5.32166,5.47443,5.43848,5.23252,5.35946,5.45108,5.53446
PUSL1,5.81917,5.88542,5.7782,5.78889,5.80307,5.63589,5.75686,5.73802,5.78755,5.82721,5.78155,5.77799,5.8491,5.91509,5.90197,5.73252,5.84594,5.75892,5.75163,5.69575,5.83934,5.89533
GLTPD1,5.60825,5.51454,5.5233,5.42846,5.73461,5.63786,5.72947,5.51776,5.69263,5.73968,5.68421,5.68139,5.72266,5.7956,5.7042,5.54903,5.72099,5.67227,5.56151,5.59207,5.6288,5.69386
TAS1R3,5.94925,6.01969,5.87368,5.812265,6.050115,5.829785,5.9432,5.866975,5.890265,5.9803,5.85982,5.8516,5.91378,5.867155,5.919095,5.709645,5.858435,5.915605,5.75168,5.82402,5.90138,5.933605
TMEM88B,6.29057,6.37515,5.83881,6.29109,6.04316,6.01918,6.33792,6.08897,6.19094,6.20265,6.20215,6.25963,6.28415,6.19114,6.14685,6.20316,6.16494,6.04953,6.1206,6.22108,6.36363,6.23264
VWA1,4.99957,5.18857,4.96669,5.06012,5.19298,4.9739,5.03534,5.11388,4.9952,5.08031,5.1003,5.06689,5.15628,4.97922,5.15114,4.93618,5.09625,5.07314,5.0121,4.96341,5.15096,5.17741
ATAD3C,5.19286,5.2441,5.15423,5.10708,5.16005,5.05553,5.10785,5.20583,5.1561,5.2513,5.12803,5.11776,5.18646,5.1517,5.20002,5.1581,5.17512,5.26054,5.26497,5.18605,5.22824,5.17535
ATAD3B,6.10418,6.13584,6.07929,6.07181,6.11187,6.09833,6.07589,5.9719,6.06204,6.05631,6.11879,6.07072,6.10203,6.09469,6.01306,6.04112,5.99747,6.06838,6.10564,6.05846,6.07082,6.06052
MIB2,6.09601,6.11059,6.04307,5.9979,6.05119,5.95612,5.96469,5.98716,6.05324,6.03046,6.12131,5.97154,6.08935,6.05978,6.0177,5.95233,6.04962,6.03645,5.9632,5.93421,6.04138,6.02046
MMP23B,6.13112,6.24964,6.09912,6.05863,6.16264,6.12216,6.16418,6.12247,6.16843,6.13475,6.17298,6.09276,6.09529,6.11228,6.0863,6.03929,6.15212,6.1173,6.05338,5.99453,6.16675,6.18661
