"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology","Term"
"GO:0042742","GO:0042742","defense response to bacterium","8/28","342/18986",0.0233918128654971,15.8613199665831,10.6583247221447,2.31902943496556e-08,1.09986749071354e-05,7.85538081190613e-06,"CAMP/DEFA4/MPO/HP/S100A12/SLPI/RNASE3/ELANE",8,"BP","BP: defense response to bacterium"
"GO:0050832","GO:0050832","defense response to fungus","5/28","67/18986",0.0746268656716418,50.6023454157782,15.6307055518466,4.33872777401792e-08,1.09986749071354e-05,7.85538081190613e-06,"CAMP/DEFA4/MPO/S100A12/ELANE",5,"BP","BP: defense response to fungus"
"GO:0009620","GO:0009620","response to fungus","5/28","78/18986",0.0641025641025641,43.4661172161172,14.4429236570101,9.3792931254637e-08,1.26786838536363e-05,9.05526262981603e-06,"CAMP/DEFA4/MPO/S100A12/ELANE",5,"BP","BP: response to fungus"
"GO:0019731","GO:0019731","antibacterial humoral response","5/28","79/18986",0.0632911392405063,42.9159132007233,14.3472683979639,1.00029063934014e-07,1.26786838536363e-05,9.05526262981603e-06,"CAMP/DEFA4/SLPI/RNASE3/ELANE",5,"BP","BP: antibacterial humoral response"
"GO:0019730","GO:0019730","antimicrobial humoral response","6/28","185/18986",0.0324324324324324,21.9915057915058,11.0262298020683,2.4877144902755e-07,2.15529519903102e-05,1.53933675587392e-05,"CAMP/DEFA4/S100A12/SLPI/RNASE3/ELANE",6,"BP","BP: antimicrobial humoral response"
"GO:0006959","GO:0006959","humoral immune response","7/28","310/18986",0.0225806451612903,15.3112903225806,9.7635052303672,2.55064520595387e-07,2.15529519903102e-05,1.53933675587392e-05,"CAMP/DEFA4/S100A12/SLPI/RNASE3/ELANE/SERPING1",7,"BP","BP: humoral immune response"
"GO:0034774","GO:0034774","secretory granule lumen","12/27","324/19960",0.037037037037037,27.3799725651578,17.6191628927541,3.81903115592835e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/MPO/TCN1/HP/S100A12/SLPI/RNASE3/ELANE/SERPING1/MMP8",12,"CC","CC: secretory granule lumen"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","12/27","329/19960",0.0364741641337386,26.9638635596082,17.4767628634336,4.58788684068871e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/MPO/TCN1/HP/S100A12/SLPI/RNASE3/ELANE/SERPING1/MMP8",12,"CC","CC: cytoplasmic vesicle lumen"
"GO:0031983","GO:0031983","vesicle lumen","12/27","330/19960",0.0363636363636364,26.8821548821549,17.448664399127,4.75766504735246e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/MPO/TCN1/HP/S100A12/SLPI/RNASE3/ELANE/SERPING1/MMP8",12,"CC","CC: vesicle lumen"
"GO:0042581","GO:0042581","specific granule","10/27","160/19960",0.0625,46.2037037037037,21.1283875112559,6.1866373460504e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/TCN1/CEACAM8/HP/SLPI/ELANE/CLEC5A/MMP8",10,"CC","CC: specific granule"
"GO:0035580","GO:0035580","specific granule lumen","8/27","62/19960",0.129032258064516,95.3882915173238,27.3951822794165,1.14919296303995e-14,1.40201541490874e-13,7.98386690111964e-14,"OLFM4/CAMP/DEFA4/TCN1/HP/SLPI/ELANE/MMP8",8,"CC","CC: specific granule lumen"
"GO:0001530","GO:0001530","lipopolysaccharide binding","2/28","41/18737",0.0487804878048781,32.6428571428571,7.84667086677114,0.00170334993860482,0.0810615796146644,0.061068063073999,"CAMP/RNASE3",2,"MF","MF: lipopolysaccharide binding"
"GO:0004252","GO:0004252","serine-type endopeptidase activity","3/28","178/18737",0.0168539325842697,11.278290529695,5.33022782109451,0.0023189111772588,0.0810615796146644,0.061068063073999,"HP/ELANE/MMP8",3,"MF","MF: serine-type endopeptidase activity"
"GO:0008236","GO:0008236","serine-type peptidase activity","3/28","195/18737",0.0153846153846154,10.2950549450549,5.04757924214043,0.00300202716801753,0.0810615796146644,0.061068063073999,"HP/ELANE/MMP8",3,"MF","MF: serine-type peptidase activity"
"GO:0017171","GO:0017171","serine hydrolase activity","3/28","199/18737",0.0150753768844221,10.0881191672649,4.98610338725089,0.00317888547508488,0.0810615796146644,0.061068063073999,"HP/ELANE/MMP8",3,"MF","MF: serine hydrolase activity"
"GO:0005539","GO:0005539","glycosaminoglycan binding","3/28","246/18737",0.0121951219512195,8.16071428571429,4.37356783491049,0.00574728228135847,0.117244558539713,0.088326654008246,"TNFAIP6/MPO/ELANE",3,"MF","MF: glycosaminoglycan binding"
