"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","3/12","193/8543",0.0155440414507772,11.0660621761658,5.30475658984434,0.00214854035731348,0.0277389720353386,0.0218991884489516,"820/4353/1991",3
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","3/12","198/8543",0.0151515151515152,10.7866161616162,5.22543458683919,0.00231158100294489,0.0277389720353386,0.0218991884489516,"1669/4353/1991",3
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","2/12","102/8543",0.0196078431372549,13.9591503267974,4.93798878304274,0.0086179156675513,0.0689433253404104,0.0544289410582187,"820/1669",2
"hsa04980","Organismal Systems","Digestive system","hsa04980","Cobalamin transport and metabolism","1/12","18/8543",0.0555555555555556,39.5509259259259,6.14036670037766,0.0250088245390012,0.133319089057236,0.105251912413607,"6947",1
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","2/12","189/8543",0.0105820105820106,7.53350970017637,3.40643920486984,0.0277748102202575,0.133319089057236,0.105251912413607,"820/1669",2
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","1/12","32/8543",0.03125,22.2473958333333,4.51607180205978,0.0440623133159325,0.17624925326373,0.139144147313471,"6037",1
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","1/12","47/8543",0.0212765957446809,15.1471631205674,3.64738387511424,0.0640975357567503,0.204174273275257,0.161190215743624,"777",1
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","1/12","50/8543",0.02,14.2383333333333,3.52093646134142,0.0680580910917522,0.204174273275257,0.161190215743624,"3820",1
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","1/12","68/8543",0.0147058823529412,10.469362745098,2.94019267986913,0.0915005659047221,0.233825907395504,0.184599400575398,"4353",1
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","1/12","78/8543",0.0128205128205128,9.12713675213675,2.70421877202318,0.104289368725067,0.233825907395504,0.184599400575398,"710",1
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/12","81/8543",0.0123456790123457,8.78909465020576,2.64157785898274,0.108093703298663,0.233825907395504,0.184599400575398,"4353",1
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","1/12","88/8543",0.0113636363636364,8.08996212121212,2.50725716244979,0.116912953697752,0.233825907395504,0.184599400575398,"710",1
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","1/12","97/8543",0.0103092783505155,7.3393470790378,2.35491531559007,0.128134524968588,0.236556046095855,0.18675477323357,"820",1
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","1/12","141/8543",0.00709219858156028,5.04905437352246,1.81820254838343,0.181137669388412,0.287812709836765,0.227220560397446,"1991",1
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","1/12","159/8543",0.00628930817610063,4.47746331236897,1.65999171223777,0.201956303923662,0.287812709836765,0.227220560397446,"4353",1
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","1/12","159/8543",0.00628930817610063,4.47746331236897,1.65999171223777,0.201956303923662,0.287812709836765,0.227220560397446,"91543",1
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","1/12","169/8543",0.00591715976331361,4.21252465483235,1.58195373795738,0.213311452284026,0.287812709836765,0.227220560397446,"55255",1
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","1/12","173/8543",0.00578034682080925,4.11512524084778,1.55240942200322,0.217811893752189,0.287812709836765,0.227220560397446,"91543",1
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","1/12","182/8543",0.00549450549450549,3.91163003663004,1.48906346745294,0.227851728620773,0.287812709836765,0.227220560397446,"820",1
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","1/12","212/8543",0.00471698113207547,3.35809748427673,1.30392182255904,0.260470880171203,0.312565056205443,0.246761886477982,"57568",1
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","1/12","254/8543",0.00393700787401575,2.80282152230971,1.0939285530676,0.304018185155421,0.347449354463338,0.274302121944741,"777",1
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","1/12","300/8543",0.00333333333333333,2.37305555555556,0.907980502321688,0.349006729219813,0.380734613694342,0.300579958179743,"777",1
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","1/12","371/8543",0.00269541778975741,1.91891284815813,0.678683881936287,0.413236680348882,0.431203492537964,0.340423809898393,"55255",1
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","1/12","483/8543",0.0020703933747412,1.47394755003451,0.402167306697799,0.502842062892826,0.502842062892826,0.39698057596802,"55255",1
