"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0034774","GO:0034774","secretory granule lumen","12/27","324/19960",0.037037037037037,27.3799725651578,17.6191628927541,3.81903115592835e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/MPO/TCN1/HP/S100A12/SLPI/RNASE3/ELANE/SERPING1/MMP8",12,"CC"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","12/27","329/19960",0.0364741641337386,26.9638635596082,17.4767628634336,4.58788684068871e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/MPO/TCN1/HP/S100A12/SLPI/RNASE3/ELANE/SERPING1/MMP8",12,"CC"
"GO:0031983","GO:0031983","vesicle lumen","12/27","330/19960",0.0363636363636364,26.8821548821549,17.448664399127,4.75766504735246e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/MPO/TCN1/HP/S100A12/SLPI/RNASE3/ELANE/SERPING1/MMP8",12,"CC"
"GO:0042581","GO:0042581","specific granule","10/27","160/19960",0.0625,46.2037037037037,21.1283875112559,6.1866373460504e-15,9.43462195272686e-14,5.37260611630693e-14,"OLFM4/CAMP/DEFA4/TCN1/CEACAM8/HP/SLPI/ELANE/CLEC5A/MMP8",10,"CC"
"GO:0035580","GO:0035580","specific granule lumen","8/27","62/19960",0.129032258064516,95.3882915173238,27.3951822794165,1.14919296303995e-14,1.40201541490874e-13,7.98386690111964e-14,"OLFM4/CAMP/DEFA4/TCN1/HP/SLPI/ELANE/MMP8",8,"CC"
"GO:0070820","GO:0070820","tertiary granule","8/27","164/19960",0.0487804878048781,36.0614272809395,16.5931076453331,3.40104453662151e-11,3.45772861223187e-10,1.96902578435982e-10,"OLFM4/TNFAIP6/CAMP/TCN1/CEACAM8/HP/CLEC5A/MMP8",8,"CC"
"GO:1904724","GO:1904724","tertiary granule lumen","6/27","55/19960",0.109090909090909,80.6464646464647,21.7686599183817,9.35467463672306e-11,8.15193075485866e-10,4.64216936859941e-10,"OLFM4/TNFAIP6/CAMP/TCN1/HP/MMP8",6,"CC"
"GO:0005766","GO:0005766","primary lysosome","6/27","155/19960",0.0387096774193548,28.6164874551971,12.7031610263944,5.14775964683193e-08,3.48903709396386e-07,1.98685460053162e-07,"DEFA4/MPO/CEACAM8/CEACAM6/RNASE3/ELANE",6,"CC"
"GO:0042582","GO:0042582","azurophil granule","6/27","155/19960",0.0387096774193548,28.6164874551971,12.7031610263944,5.14775964683193e-08,3.48903709396386e-07,1.98685460053162e-07,"DEFA4/MPO/CEACAM8/CEACAM6/RNASE3/ELANE",6,"CC"
"GO:0035578","GO:0035578","azurophil granule lumen","3/27","91/19960",0.032967032967033,24.3711843711844,8.22391003164182,0.000247701555893637,0.00151097949095119,0.000860436983630529,"MPO/RNASE3/ELANE",3,"CC"
"GO:0071682","GO:0071682","endocytic vesicle lumen","2/27","23/19960",0.0869565217391304,64.2834138486312,11.1760632422773,0.000438070597543757,0.00242930058637902,0.00138338083434871,"MPO/HP",2,"CC"
"GO:0005775","GO:0005775","vacuolar lumen","3/27","178/19960",0.0168539325842697,12.4594257178527,5.65200703770737,0.00174246094002867,0.0088575097784791,0.00504396587903038,"MPO/RNASE3/ELANE",3,"CC"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","4/27","430/19960",0.00930232558139535,6.87683031869078,4.53410105621679,0.00251678629398874,0.0118095356871779,0.00672501600822902,"SLPI/ELANE/SERPING1/MMP8",4,"CC"
"GO:0035577","GO:0035577","azurophil granule membrane","2/27","58/19960",0.0344827586206897,25.4916985951469,6.87463238818901,0.00277990641072826,0.0121124493610303,0.00689751214691973,"CEACAM8/CEACAM6",2,"CC"
"GO:0070821","GO:0070821","tertiary granule membrane","2/27","73/19960",0.0273972602739726,20.2536783358701,6.06534407982961,0.00436479258315915,0.0177501565048472,0.0101079407188949,"CEACAM8/CLEC5A",2,"CC"
"GO:0035579","GO:0035579","specific granule membrane","2/27","91/19960",0.021978021978022,16.2474562474562,5.36531253183215,0.00670033841074716,0.0255450401909736,0.0145467873391221,"CEACAM8/CLEC5A",2,"CC"
"GO:0030667","GO:0030667","secretory granule membrane","3/27","320/19960",0.009375,6.93055555555556,3.93608586403265,0.00898025770831581,0.0322232776592508,0.0183497525928435,"CEACAM8/CEACAM6/CLEC5A",3,"CC"
"GO:0030139","GO:0030139","endocytic vesicle","3/27","356/19960",0.00842696629213483,6.22971285892634,3.66433722195208,0.0119841339224071,0.0406128982926017,0.0231272759906101,"MPO/HP/ELANE",3,"CC"
"GO:0031838","GO:0031838","haptoglobin-hemoglobin complex","1/27","11/19960",0.0909090909090909,67.2053872053872,8.08339953620333,0.0147832057315306,0.0474479204334927,0.0270195232839562,"HP",1,"CC"
"GO:0072562","GO:0072562","blood microparticle","2/27","144/19960",0.0138888888888889,10.2674897119342,4.10771495947449,0.0161225574481612,0.0474479204334927,0.0270195232839562,"HP/SERPING1",2,"CC"
"GO:0045335","GO:0045335","phagocytic vesicle","2/27","145/19960",0.0137931034482759,10.1966794380587,4.09056171600805,0.0163345299853008,0.0474479204334927,0.0270195232839562,"MPO/ELANE",2,"CC"
