,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,
hsa04613,Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,3月12日,193/8543,0.015544041,11.06606218,5.30475659,0.00214854,0.027738972,0.021899188,820/4353/1991,3,CAMP/MPO/ELANE
hsa05202,Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,3月12日,198/8543,0.015151515,10.78661616,5.225434587,0.002311581,0.027738972,0.021899188,1669/4353/1991,3,DEFA4/MPO/ELANE
hsa05150,Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,2月12日,102/8543,0.019607843,13.95915033,4.937988783,0.008617916,0.068943325,0.054428941,820/1669,2,
hsa04980,Organismal Systems,Digestive system,hsa04980,Cobalamin transport and metabolism,1月12日,18/8543,0.055555556,39.55092593,6.1403667,0.025008825,0.133319089,0.105251912,6947,1,
hsa04621,Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,2月12日,189/8543,0.010582011,7.5335097,3.406439205,0.02777481,0.133319089,0.105251912,820/1669,2,
hsa05310,Human Diseases,Immune disease,hsa05310,Asthma,1月12日,32/8543,0.03125,22.24739583,4.516071802,0.044062313,0.176249253,0.139144147,6037,1,
hsa04930,Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,1月12日,47/8543,0.021276596,15.14716312,3.647383875,0.064097536,0.204174273,0.161190216,777,1,
hsa05144,Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,1月12日,50/8543,0.02,14.23833333,3.520936461,0.068058091,0.204174273,0.161190216,3820,1,
hsa05221,Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,1月12日,68/8543,0.014705882,10.46936275,2.94019268,0.091500566,0.233825907,0.184599401,4353,1,
hsa05133,Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,1月12日,78/8543,0.012820513,9.127136752,2.704218772,0.104289369,0.233825907,0.184599401,710,1,
hsa00983,Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,1月12日,81/8543,0.012345679,8.78909465,2.641577859,0.108093703,0.233825907,0.184599401,4353,1,
hsa04610,Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,1月12日,88/8543,0.011363636,8.089962121,2.507257162,0.116912954,0.233825907,0.184599401,710,1,
hsa04970,Organismal Systems,Digestive system,hsa04970,Salivary secretion,1月12日,97/8543,0.010309278,7.339347079,2.354915316,0.128134525,0.236556046,0.186754773,820,1,
hsa05322,Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,1月12日,141/8543,0.007092199,5.049054374,1.818202548,0.181137669,0.28781271,0.22722056,1991,1,
hsa04145,Cellular Processes,Transport and catabolism,hsa04145,Phagosome,1月12日,159/8543,0.006289308,4.477463312,1.659991712,0.201956304,0.28781271,0.22722056,4353,1,
hsa05160,Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,1月12日,159/8543,0.006289308,4.477463312,1.659991712,0.201956304,0.28781271,0.22722056,91543,1,
hsa04140,Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,1月12日,169/8543,0.00591716,4.212524655,1.581953738,0.213311452,0.28781271,0.22722056,55255,1,
hsa05164,Human Diseases,Infectious disease: viral,hsa05164,Influenza A,1月12日,173/8543,0.005780347,4.115125241,1.552409422,0.217811894,0.28781271,0.22722056,91543,1,
hsa05152,Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,1月12日,182/8543,0.005494505,3.911630037,1.489063467,0.227851729,0.28781271,0.22722056,820,1,
hsa04015,Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,1月12日,212/8543,0.004716981,3.358097484,1.303921823,0.26047088,0.312565056,0.246761886,57568,1,
hsa04020,Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,1月12日,254/8543,0.003937008,2.802821522,1.093928553,0.304018185,0.347449354,0.274302122,777,1,
hsa04010,Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,1月12日,300/8543,0.003333333,2.373055556,0.907980502,0.349006729,0.380734614,0.300579958,777,1,
hsa05014,Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,1月12日,371/8543,0.002695418,1.918912848,0.678683882,0.41323668,0.431203493,0.34042381,55255,1,
hsa05022,Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,1月12日,483/8543,0.002070393,1.47394755,0.402167307,0.502842063,0.502842063,0.396980576,55255,1,
