Training	GSE36791+GSE159610	GSE13353+GSE54083+GSE75436
Lasso+Stepglm[both]	0.873015873015873	0.551356589147287	0.62406015037594
SVM	0.857142857142857	0.505813953488372	0.62781954887218
glmBoost+SVM	0.833333333333333	0.524709302325581	0.601503759398496
Ridge	0.868480725623583	0.538759689922481	0.614661654135338
Lasso+SVM	0.857142857142857	0.499031007751938	0.628759398496241
glmBoost+Ridge	0.866213151927438	0.553294573643411	0.595864661654135
Enet[alpha=0.1]	0.861678004535147	0.552325581395349	0.592105263157895
glmBoost+Enet[alpha=0.1]	0.873015873015873	0.555232558139535	0.593984962406015
Enet[alpha=0.2]	0.873015873015873	0.562015503875969	0.584586466165414
Enet[alpha=0.3]	0.868480725623583	0.559108527131783	0.582706766917293
glmBoost+Enet[alpha=0.3]	0.870748299319728	0.560077519379845	0.593984962406015
glmBoost+Enet[alpha=0.2]	0.870748299319728	0.556201550387597	0.593984962406015
Enet[alpha=0.4]	0.863945578231292	0.558139534883721	0.590225563909774
glmBoost+Enet[alpha=0.4]	0.870748299319728	0.562015503875969	0.597744360902256
Lasso+glmBoost	0.873015873015873	0.561046511627907	0.603383458646617
Enet[alpha=0.5]	0.861678004535147	0.562984496124031	0.590225563909774
glmBoost	0.863945578231292	0.568798449612403	0.575187969924812
glmBoost+Enet[alpha=0.5]	0.868480725623583	0.562015503875969	0.597744360902256
Enet[alpha=0.6]	0.866213151927438	0.561046511627907	0.590225563909774
glmBoost+Enet[alpha=0.6]	0.868480725623583	0.562015503875969	0.597744360902256
glmBoost+Enet[alpha=0.7]	0.868480725623583	0.561046511627907	0.601503759398496
glmBoost+Enet[alpha=0.8]	0.870748299319728	0.562015503875969	0.605263157894737
Enet[alpha=0.9]	0.866213151927438	0.570736434108527	0.586466165413534
Enet[alpha=0.7]	0.863945578231292	0.563953488372093	0.590225563909774
glmBoost+Enet[alpha=0.9]	0.866213151927438	0.562984496124031	0.605263157894737
glmBoost+Lasso	0.863945578231292	0.566860465116279	0.599624060150376
glmBoost+Stepglm[forward]	0.873015873015873	0.541666666666667	0.640977443609023
Lasso+Stepglm[forward]	0.891156462585034	0.552325581395349	0.644736842105263
RF+SVM	0.833333333333333	0.540697674418605	0.583646616541353
Stepglm[forward]	1	0.559108527131783	0.609962406015038
RF+Ridge	0.820861678004535	0.550387596899225	0.558270676691729
RF+Enet[alpha=0.1]	0.816326530612245	0.560077519379845	0.56390977443609
RF+Stepglm[forward]	0.866213151927438	0.525193798449612	0.578947368421053
RF+Enet[alpha=0.2]	0.836734693877551	0.562015503875969	0.573308270676692
RF+Enet[alpha=0.3]	0.829931972789116	0.562015503875969	0.577067669172932
RF+Enet[alpha=0.6]	0.829931972789116	0.554263565891473	0.584586466165414
RF+Lasso	0.825396825396825	0.554263565891473	0.573308270676692
RF+Enet[alpha=0.7]	0.82312925170068	0.556201550387597	0.575187969924812
RF+Enet[alpha=0.5]	0.829931972789116	0.554263565891473	0.584586466165414
RF+glmBoost	0.852607709750567	0.557170542635659	0.588345864661654
RF+Enet[alpha=0.9]	0.836734693877551	0.550387596899225	0.578947368421053
RF+Enet[alpha=0.4]	0.834467120181406	0.555232558139535	0.584586466165414
RF+Enet[alpha=0.8]	0.829931972789116	0.552325581395349	0.577067669172932
Stepglm[both]+Ridge	0.850340136054422	0.542635658914729	0.601503759398496
Stepglm[backward]+Ridge	0.857142857142857	0.534883720930233	0.607142857142857
Stepglm[both]+Enet[alpha=0.9]	0.868480725623583	0.571705426356589	0.56203007518797
Stepglm[backward]+Enet[alpha=0.9]	0.868480725623583	0.571705426356589	0.56390977443609
Stepglm[both]+Enet[alpha=0.1]	0.841269841269841	0.546511627906977	0.577067669172932
Stepglm[backward]+Enet[alpha=0.1]	0.850340136054422	0.541666666666667	0.584586466165414
Stepglm[both]+Enet[alpha=0.8]	0.863945578231292	0.561046511627907	0.567669172932331
Stepglm[backward]+Enet[alpha=0.8]	0.863945578231292	0.564922480620155	0.56390977443609
Stepglm[both]+Enet[alpha=0.2]	0.848072562358277	0.558139534883721	0.569548872180451
Stepglm[backward]+Enet[alpha=0.2]	0.848072562358277	0.560077519379845	0.567669172932331
Stepglm[both]+Lasso	0.866213151927438	0.577519379844961	0.558270676691729
Stepglm[both]+Enet[alpha=0.6]	0.861678004535147	0.565891472868217	0.571428571428571
Stepglm[backward]+Enet[alpha=0.6]	0.866213151927438	0.566860465116279	0.56203007518797
Stepglm[both]+Enet[alpha=0.7]	0.863945578231292	0.566860465116279	0.56390977443609
Stepglm[backward]+Enet[alpha=0.7]	0.866213151927438	0.566860465116279	0.565789473684211
Lasso+Stepglm[backward]	0.873015873015873	0.551356589147287	0.62406015037594
Stepglm[both]	1	0.559108527131783	0.62781954887218
Stepglm[backward]	1	0.559108527131783	0.62781954887218
Stepglm[both]+Enet[alpha=0.4]	0.863945578231292	0.558139534883721	0.569548872180451
Stepglm[backward]+Enet[alpha=0.4]	0.863945578231292	0.558139534883721	0.565789473684211
Stepglm[both]+Enet[alpha=0.3]	0.854875283446712	0.558139534883721	0.571428571428571
Stepglm[backward]+Enet[alpha=0.3]	0.863945578231292	0.558139534883721	0.575187969924812
Stepglm[both]+glmBoost	0.873015873015873	0.556201550387597	0.430451127819549
Stepglm[backward]+glmBoost	0.861678004535147	0.564922480620155	0.565789473684211
Stepglm[both]+Enet[alpha=0.5]	0.866213151927438	0.560077519379845	0.565789473684211
Stepglm[backward]+Enet[alpha=0.5]	0.866213151927438	0.559108527131783	0.565789473684211
RF	0.99546485260771	0.603682170542636	0.674812030075188
Stepglm[both]+SVM	0.833333333333333	0.593992248062015	0.619360902255639
Stepglm[backward]+SVM	0.833333333333333	0.593992248062015	0.619360902255639
Lasso+RF	0.988662131519274	0.623062015503876	0.618421052631579
