	Lasso+Stepglm[both]	SVM	glmBoost+SVM	Ridge	Lasso+SVM	glmBoost+Ridge	Enet[alpha=0.1]	glmBoost+Enet[alpha=0.1]	Enet[alpha=0.2]	Enet[alpha=0.3]	glmBoost+Enet[alpha=0.3]	glmBoost+Enet[alpha=0.2]	Enet[alpha=0.4]	glmBoost+Enet[alpha=0.4]	Lasso+glmBoost	Enet[alpha=0.5]	glmBoost	glmBoost+Enet[alpha=0.5]	Enet[alpha=0.6]	glmBoost+Enet[alpha=0.6]	glmBoost+Enet[alpha=0.7]	glmBoost+Enet[alpha=0.8]	Enet[alpha=0.9]	Enet[alpha=0.7]	glmBoost+Enet[alpha=0.9]	glmBoost+Lasso	glmBoost+Stepglm[forward]	Lasso+Stepglm[forward]	RF+SVM	Stepglm[forward]	RF+Ridge	RF+Enet[alpha=0.1]	RF+Stepglm[forward]	RF+Enet[alpha=0.2]	RF+Enet[alpha=0.3]	RF+Enet[alpha=0.6]	RF+Lasso	RF+Enet[alpha=0.7]	RF+Enet[alpha=0.5]	RF+glmBoost	RF+Enet[alpha=0.9]	RF+Enet[alpha=0.4]	RF+Enet[alpha=0.8]	Stepglm[both]+Ridge	Stepglm[backward]+Ridge	Stepglm[both]+Enet[alpha=0.9]	Stepglm[backward]+Enet[alpha=0.9]	Stepglm[both]+Enet[alpha=0.1]	Stepglm[backward]+Enet[alpha=0.1]	Stepglm[both]+Enet[alpha=0.8]	Stepglm[backward]+Enet[alpha=0.8]	Stepglm[both]+Enet[alpha=0.2]	Stepglm[backward]+Enet[alpha=0.2]	Stepglm[both]+Lasso	Stepglm[both]+Enet[alpha=0.6]	Stepglm[backward]+Enet[alpha=0.6]	Stepglm[both]+Enet[alpha=0.7]	Stepglm[backward]+Enet[alpha=0.7]	Lasso+Stepglm[backward]	Stepglm[both]	Stepglm[backward]	Stepglm[both]+Enet[alpha=0.4]	Stepglm[backward]+Enet[alpha=0.4]	Stepglm[both]+Enet[alpha=0.3]	Stepglm[backward]+Enet[alpha=0.3]	Stepglm[both]+glmBoost	Stepglm[backward]+glmBoost	Stepglm[both]+Enet[alpha=0.5]	Stepglm[backward]+Enet[alpha=0.5]	RF	Stepglm[both]+SVM	Stepglm[backward]+SVM	Lasso+RF	Stepglm[both]+RF	LDA	glmBoost+LDA	RF+LDA	Stepglm[both]+LDA	Stepglm[backward]+LDA	Lasso+LDA	Stepglm[backward]+RF	XGBoost	Lasso+XGBoost	glmBoost+XGBoost	RF+XGBoost	Stepglm[both]+XGBoost	Stepglm[backward]+XGBoost	NaiveBayes	Lasso+NaiveBayes	glmBoost+NaiveBayes	RF+NaiveBayes	Stepglm[both]+NaiveBayes	Stepglm[backward]+NaiveBayes
GSM3487854	0.0364642354874527	0	0	0.257718562079614	0	0.229296187394571	0.268862187665809	0.209747229235629	0.265999406003187	0.254898495970321	0.197788736107285	0.208072228877831	0.282819097995263	0.165858567899384	0.174775930666612	0.236702827466644	0.256365474344531	0.173969688073395	0.284492567867762	0.170218988562776	0.176488681273621	0.143494562209398	0.247332962867145	0.249807423245243	0.176377049464284	0.199851873641165	0.0439977353807231	0.0298181850652474	0	2.22044604925031e-16	0.268206736027739	0.298074495933186	0.114827178423602	0.261585903190322	0.290713205293209	0.28505495905535	0.303826556788217	0.308654026882733	0.274429759490337	0.213262226069104	0.267183002584212	0.264840883061304	0.278297049047726	0.257643185603841	0.229950639532515	0.247252729871092	0.234113711628704	0.26627604598448	0.243533604496386	0.230418071527925	0.242371613945792	0.272685038880452	0.283199786640298	0.25194780174646	0.283842718647082	0.247842200335914	0.290121460795357	0.262991420343807	0.0364642354874527	2.22044604925031e-16	2.22044604925031e-16	0.268843131537916	0.258621242206799	0.272510302981092	0.251697087362644	0.191254759098248	0.250080761147628	0.247120850312313	0.225384588796473	0.296941666666667	0	0	0.346138095238096	0.36859880952381	0.0130094083404171	0.0685015407891087	0.151018637879283	0.0516705988878265	0.0516705988878265	0.0509024814732462	0.342245238095238	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.598687648773193	0.598687648773193	0.00378452454629936	0.0572656872962159	0.0673071856743949	0.0352258164275145	0.00660926656468424	0.00660926656468424
GSM3487856	0.789563461863926	1	1	0.715168537168771	1	0.789207965973679	0.728432880253014	0.808176346379184	0.736961814114536	0.753003108759658	0.814182342248427	0.807374429591594	0.726635750298107	0.836616534524821	0.813916179273704	0.77258695111262	0.766764411881948	0.826659788438214	0.727308549984583	0.825024570582786	0.816132525157291	0.831475660093473	0.759942556340254	0.759026479207717	0.805940042758519	0.786552005641114	0.869738083758721	0.912401169889616	1	9.18095637300801e-08	0.738801221799512	0.711878383460116	0.812135804995383	0.774092427798977	0.742245800202582	0.765430409147225	0.76322703784051	0.741412688624641	0.774944252748117	0.823987864102532	0.792010180149686	0.781691694929404	0.779621046684219	0.661265321994509	0.690611941894876	0.686584304662437	0.693980216663428	0.666348332511928	0.689702863165295	0.7002488875111	0.692505175815367	0.66902094065768	0.658916761814418	0.682469285559006	0.664690046253269	0.693230766628017	0.660087565189405	0.680432405419156	0.789563461863926	3.72846883574401e-07	3.72846883574401e-07	0.676223827420716	0.684968199030598	0.671595935442528	0.69162442501005	0.732932300532629	0.70828840090354	0.694555700412522	0.713062849599963	0.514714285714286	1	1	0.546300793650793	0.48297261904762	0.861835094845115	0.873928512300079	0.82403715683321	0.747335127756859	0.747335127756859	0.902309955613071	0.469226587301588	0.791391491889954	0.538385808467865	0.538385808467865	0.784843325614929	0.791391491889954	0.791391491889954	0.716612277144963	0.934605679839198	0.937414764088047	0.902802098537121	0.306770903149117	0.306770903149117
GSM3487857	0.311826173723535	0	0	0.385075020253689	0	0.340460174818698	0.386711384012905	0.334782044718304	0.387647021006358	0.383933604093389	0.338550196511961	0.338638316406661	0.388284483204274	0.329768110567454	0.328092122620139	0.37725171297785	0.361111721330167	0.338877471546152	0.389523591825516	0.343387989639773	0.352236435008691	0.347162720937786	0.382503611958486	0.377748740644285	0.366699411947393	0.379523734174301	0.309749072859946	0.315344244601071	0	4.11076270822354e-08	0.398223684420871	0.409583647856575	0.332183900776483	0.383413703590034	0.399906643828763	0.388135213356097	0.379763879118203	0.395695584041534	0.385870452357658	0.358927412088697	0.37263088360662	0.38069213218621	0.378867369210002	0.345614060946192	0.331424868633746	0.355529443211092	0.349197620610664	0.348949369424552	0.336442519753385	0.33767657141806	0.343814356304916	0.347737503860317	0.352883549703979	0.365912926054866	0.353338238082263	0.335815713313046	0.362187731118915	0.346996147329629	0.311826173723535	1.55830259963036e-07	1.55830259963036e-07	0.342682473726521	0.339436809119431	0.345894778172477	0.337039069575082	0.300621625121774	0.315386014744065	0.335786941051009	0.331552928724484	0.187546825396826	0	0	0.19013253968254	0.139543253968254	0.497736180471554	0.340015223477039	0.287076011695857	0.402183523158188	0.402183523158188	0.328970704515671	0.144109920634921	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.224767714738846	0.224767714738846	0.00715002310375144	0.0936909033080923	0.104706072267805	0.0524016312001611	0.0071811737490138	0.0071811737490138
GSM3487859	0.314063001858771	0	0	0.446245612655934	0	0.451223252456189	0.448911144989341	0.452648810710523	0.448559380317263	0.446434055416053	0.454129927678227	0.453114138614201	0.448924067186558	0.45660852386002	0.421024341491594	0.449386061901957	0.449779505676588	0.455884675824971	0.447805032331856	0.455928421484222	0.455146671973301	0.455915527451361	0.449476903735721	0.449996874506348	0.453931337551766	0.451931790905347	0.44955856572417	0.287236722838687	0	2.22044604925031e-16	0.434788385052663	0.439705792602112	0.589332337290354	0.446294137110597	0.445867605424019	0.453804553789742	0.456845523238788	0.450158042877266	0.453909425513527	0.482390402402494	0.46719863637026	0.453368617400615	0.460696028217298	0.469169633088201	0.471045688264926	0.504215827817065	0.506920960736731	0.479252376510994	0.480721510178692	0.508228464066526	0.505528664692217	0.489020910695334	0.488763274592352	0.503097327474791	0.494714526379206	0.503589863474198	0.494287519853339	0.500543725085621	0.314063001858771	2.22044604925031e-16	2.22044604925031e-16	0.495393895760032	0.498049973482853	0.493667637138738	0.494530656059386	0.484085506700863	0.503620510799131	0.502755786923631	0.49650618752416	0.261720634920635	0	0	0.295754761904762	0.31754126984127	0.243328192070583	0.45050771073472	0.523525227564872	0.458979548991848	0.458979548991848	0.303468843223026	0.293264285714286	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.598687648773193	0.598687648773193	0.0136351070000863	0.12851699197539	0.154520733800342	0.0481478712772048	0.0218485848942893	0.0218485848942893
GSM3487860	0.240378570017456	0	0	0.408356810810869	0	0.380941591982097	0.412938625947145	0.378859138474795	0.420885971835388	0.419957575033697	0.381341955157722	0.383088571170105	0.438682738207046	0.362997007108442	0.363370477680864	0.416679823651021	0.432280087690093	0.3710272852263	0.44989122803595	0.369645279396828	0.376337255481643	0.348423686086659	0.435417333820543	0.430312145249747	0.378766379350232	0.399856151330919	0.224809845818413	0.176140164372493	1	2.22044604925031e-16	0.493737830153198	0.491348413057778	0.393155907866419	0.491908925083083	0.499299207044387	0.51113934036452	0.525853501045572	0.51751000712885	0.506948335264673	0.503298913960625	0.518218067436378	0.499864887252984	0.516649408710051	0.33946246564614	0.306984641085366	0.348039404952388	0.335167587160193	0.357550589350986	0.336939669035836	0.327373108450364	0.338592780524259	0.358437192898846	0.366820306505524	0.358180476911289	0.367829248333107	0.337107012502251	0.377729931900435	0.353370604140556	0.240378570017456	2.22044604925031e-16	2.22044604925031e-16	0.351075875247489	0.343102834731538	0.355248358829864	0.338622329943065	0.304909140288245	0.335797140476084	0.335047057340711	0.316258798044414	0.393454761904762	0	0	0.369502777777778	0.354245634920635	0.158750292081689	0.228794005960898	0.351241727933596	0.103036391853146	0.103036391853146	0.185414254462447	0.371464285714286	0.444671928882599	0.538385808467865	0.538385808467865	0.5	0.444671928882599	0.444671928882599	0.116547862844211	0.162215152718833	0.191129361744567	0.574291312697092	0.0839047610862915	0.0839047610862915
GSM3487861	0.0716141382005674	0	0	0.365917573637232	0	0.271155920849115	0.354459259546018	0.242400593090809	0.334132155794392	0.310482190394002	0.223338944127964	0.238239808018815	0.333150068306172	0.180828354247989	0.206844998885232	0.276164437043447	0.290423358288424	0.191015672306176	0.334550297094173	0.185863610371757	0.194163205197616	0.151833483782261	0.287587334982511	0.289598789523654	0.195066774538883	0.226803715376865	0.036078950875087	0.0540620059016581	0	1.48235380021372e-08	0.427997699123249	0.43310916302867	0.22262890622295	0.397647324034476	0.411030910701281	0.392386799951903	0.399894712298443	0.411580777563034	0.385406947326387	0.312104091476357	0.363637161902457	0.384813273320269	0.379166519147522	0.433227700895472	0.410923062310689	0.326392613589226	0.311476317809406	0.411090280841237	0.397622760300162	0.309261191949497	0.322972199350385	0.389503535343587	0.395351372073121	0.333168780729465	0.373364930108038	0.335975842574101	0.377028649213423	0.348329214011952	0.0716141382005674	9.09202864175072e-08	9.09202864175072e-08	0.367349500209905	0.357638177164561	0.377048273518188	0.362307016566988	0.273954640982202	0.32054548627257	0.340705338681775	0.327649566221179	0.239490476190476	0	0	0.245364682539683	0.244807936507937	0.052503463277579	0.077830037322969	0.334521292424182	0.299111170569931	0.299111170569931	0.10091341537651	0.27485119047619	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.224767714738846	0.224767714738846	0.147295052048327	0.269302347580984	0.195056406742341	0.189699428110115	0.194696039306329	0.194696039306329
GSM3487862	0.00095885782610111	0	0	0.3341277508306	0	0.265371024039886	0.329549916048021	0.237356757564331	0.320606415610415	0.300627691255354	0.219635357699942	0.234178652594145	0.337904762469923	0.175903816967877	0.173797266319266	0.274117757685428	0.296374488766558	0.186984238374369	0.345300373994923	0.182009011381028	0.191438244459388	0.145722647775265	0.300856665562402	0.297480130964622	0.193837988430968	0.231946874499223	0.0255885796049796	0.00824159504491732	0	2.22044604925031e-16	0.325524784581699	0.349082892325696	0.0105804173399678	0.258859005890575	0.301792876068739	0.258018116368767	0.269858277872927	0.306380273365061	0.242472514043975	0.103965895172683	0.190416087278031	0.234326096251759	0.224359943909883	0.29520177653863	0.246590916711105	0.216099078515075	0.197650747485714	0.296043274885384	0.257627352880067	0.19384366706322	0.210431933834795	0.292077457223011	0.308196239841251	0.223768013357057	0.276072514990025	0.224267921782014	0.280947152847701	0.242095554160346	0.00095885782610111	2.22044604925031e-16	2.22044604925031e-16	0.265673271219061	0.250709183911314	0.280006649433336	0.248352327294671	0.123517109938728	0.193017127079162	0.227960763885628	0.194259128494078	0.220879365079365	0	0	0.141471825396826	0.212012301587302	0.0418091195424979	0.0693586084709744	0.0441862134916561	0.029939004348493	0.029939004348493	0.0421679331625904	0.227144444444445	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.224767714738846	0.224767714738846	0.00752498782903404	0.0585137698869965	0.0714836094122572	0.0914721400223717	0.0130211604884474	0.0130211604884474
GSM3487864	0.0019609907211669	0	0	0.203504442358132	0	0.164618832502686	0.221761193369462	0.145319354633305	0.221939930129647	0.207847410733678	0.136296216622163	0.145446714330402	0.242657805975847	0.105496695415506	0.116541669829132	0.185858187609302	0.210645504584921	0.115020334356251	0.251686487642099	0.112807400537521	0.121217946816342	0.089062189755149	0.212976037309696	0.208359977171315	0.12570766649364	0.156724843369465	0.0136181108081069	0.00790324279820636	0	2.22044604925031e-16	0.177421983370186	0.21916389955529	0.00726223243317519	0.148419942167651	0.18814082491995	0.163116087538152	0.179582280035127	0.206682217626511	0.148314857705736	0.0593226267705534	0.116716775138819	0.141501281046126	0.140314615829002	0.181926244951531	0.142431419206826	0.15523146750724	0.142214452503127	0.206139279631788	0.174397370887676	0.140687685875138	0.152791067727177	0.21370477266529	0.225608247714453	0.1613915581092	0.20573037118949	0.16539044925197	0.207520507061445	0.177769273455458	0.0019609907211669	2.22044604925031e-16	2.22044604925031e-16	0.199887675562842	0.187731202862703	0.210302036754222	0.184724578326101	0.0909674114678912	0.13665613721965	0.169075494918341	0.146351306052694	0.162299603174603	0	0	0.160235714285715	0.161553571428572	0.0187851101106477	0.0369258959206286	0.0194655709629122	0.0161079726077922	0.0161079726077922	0.0339400782480523	0.157247222222222	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.224767714738846	0.224767714738846	0.00457433680883711	0.0182441504695622	0.0218236717171845	0.0140139207987486	0.00803852093176684	0.00803852093176684
GSM3487865	0.16478306043929	0	0	0.389726968806072	0	0.335097808411362	0.374842257899712	0.329199230291942	0.37111022370955	0.366645663690982	0.330147132745622	0.331596719360232	0.376000617029826	0.32071703762119	0.316736297720833	0.356985181744057	0.357886044537132	0.326979617122242	0.37944398574445	0.329180862021819	0.3352292342309	0.327621967787191	0.369050330038234	0.364967937467849	0.343929706250503	0.356972700563484	0.283833561766432	0.253727434351847	0	3.61971030932372e-08	0.317496731713716	0.34000608752172	0.198590149386899	0.299377481092019	0.322091166516612	0.307699059925435	0.317323377177914	0.334595332766034	0.297437385573093	0.222673937737022	0.274373412455801	0.296863854577285	0.292024829250949	0.382360674223162	0.385558864998483	0.350399081549875	0.349428668597883	0.383364443104096	0.37893474073412	0.350894007430289	0.352601425758294	0.385882408915585	0.38806508790945	0.352502713474226	0.367761515573993	0.36054110898501	0.364076360697459	0.359003351970949	0.16478306043929	1.32863987344861e-07	1.32863987344861e-07	0.375178487871424	0.373183730961213	0.383211895047782	0.378093072155941	0.304866286167431	0.325638790909478	0.365780519110492	0.361730913452237	0.242814285714286	0	0	0.203619047619048	0.230577380952381	0.712784121804053	0.267476747206885	0.20744715001197	0.625616181846237	0.625616181846237	0.274305495242254	0.217156746031746	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.224767714738846	0.224767714738846	0.0118264740681141	0.0929469158217442	0.11183366184403	0.0786017071346806	0.0158403905222995	0.0158403905222995
GSM3487871	0.293865494753142	0	0	0.437174136848746	0	0.449153783872017	0.456133679786745	0.445393052572413	0.45695258814142	0.453056885306847	0.443097972055434	0.444574870078674	0.451256572343917	0.439238280866557	0.426463154445211	0.44690119459271	0.443827631859329	0.440394814584771	0.45033341586435	0.440264270855016	0.441521331513528	0.43655838361939	0.449218246007363	0.448083732154929	0.443120677544959	0.447215911923216	0.384691352999658	0.393902742036635	0	2.22044604925031e-16	0.434997431070379	0.447354959622832	0.295184395991243	0.427766096772797	0.430237761719212	0.414330191632307	0.41403581361836	0.42273900521282	0.411520937593158	0.375308966357962	0.398445488209255	0.413150622532913	0.406491202494564	0.4707608608496	0.46458100383347	0.481800065789792	0.482245498981011	0.483739929814856	0.480775491986066	0.483119936832819	0.482655311028751	0.48511711055219	0.484771909983909	0.482079471514786	0.481785863548081	0.48456649356187	0.480213581049543	0.482298336118335	0.293865494753142	2.22044604925031e-16	2.22044604925031e-16	0.485296237267831	0.486226838426312	0.484652831429536	0.485724718069443	0.456058703198926	0.468377577605474	0.486029370313728	0.488355903989895	0.195383333333333	0	0	0.130319841269842	0.23036626984127	0.110261512238888	0.440683481181019	0.375414537144289	0.263226107198388	0.263226107198388	0.457010083473989	0.217636111111111	0.213434189558029	0.213434189558029	0.213434189558029	0.213434189558029	0.224767714738846	0.224767714738846	0.0356756534937428	0.208754206417641	0.205462912677605	0.150140997528261	0.0483301744493712	0.0483301744493712
