sample	outcome
GSM3487854	0
GSM3487856	0
GSM3487857	0
GSM3487859	0
GSM3487860	0
GSM3487861	0
GSM3487862	0
GSM3487864	0
GSM3487865	0
GSM3487871	0
GSM3487872	0
GSM3487873	0
GSM3487876	0
GSM3487879	0
GSM3487880	0
GSM3487883	0
GSM3487886	0
GSM3487889	0
GSM3487893	0
GSM3487894	0
GSM3487896	0
GSM3487853	1
GSM3487855	1
GSM3487863	1
GSM3487866	1
GSM3487867	1
GSM3487868	1
GSM3487869	1
GSM3487870	1
GSM3487874	1
GSM3487875	1
GSM3487877	1
GSM3487878	1
GSM3487881	1
GSM3487882	1
GSM3487884	1
GSM3487885	1
GSM3487887	1
GSM3487888	1
GSM3487890	1
GSM3487891	1
GSM3487895	1
