	GSM3487853	GSM3487854	GSM3487855	GSM3487856	GSM3487857	GSM3487859	GSM3487860	GSM3487861	GSM3487862	GSM3487863	GSM3487864	GSM3487865	GSM3487866	GSM3487867	GSM3487868	GSM3487869	GSM3487870	GSM3487871	GSM3487872	GSM3487873	GSM3487874	GSM3487875	GSM3487876	GSM3487877	GSM3487878	GSM3487879	GSM3487880	GSM3487881	GSM3487882	GSM3487883	GSM3487884	GSM3487885	GSM3487886	GSM3487887	GSM3487888	GSM3487889	GSM3487890	GSM3487891	GSM3487893	GSM3487894	GSM3487895	GSM3487896
UHRF2	3.84944453	4.15913429	4.9834132	4.44053202	4.29181634	3.82441084	3.691486851	4.97693066	3.9245692	4.44114984	4.12156572	4.00599542	4.95801795	4.72276405	4.13475826	4.3293402	3.91298675	4.54432066	4.06132277	4.42172923	4.1726986	3.60629549	4.60633493	4.43168692	4.0818552	4.03715798	4.83840427	4.65225528	4.31511918	3.282374236	4.94328127	4.35336635	4.6083491	4.596778716	5.53181812	4.718872906	4.01379345	4.32001651	4.44810713	4.63479993	3.89684311	4.62701546
ZBTB33	3.20759768	3.31893822	3.6802863	3.36579001	3.22774452	3.21767899	2.373758962	3.95840276	3.00925712	3.88584025	2.72812237	2.53301594	3.64010196	3.40616341	2.99370124	3.88374405	3.16721708	3.61624064	3.11812395	4.03868457	2.66482457	2.63633266	3.51193132	3.43169372	2.64865892	3.3304559	3.64464542	3.4808902	2.9491655	3.116961029	4.20595632	3.09562066	2.75793331	2.833143284	4.17925892	3.299033959	3.32250217	3.32398388	3.44685382	3.63058368	2.83170611	3.10044543
MBD4	4.7868972	5.12629186	5.38350126	4.83901221	5.12050657	5.34977891	4.448736591	4.91556389	4.98920997	5.55264297	4.955059	4.81561268	5.43831878	5.53991092	5.09641263	5.26778104	4.83408098	5.31901335	4.82247769	4.95515706	5.24593675	4.90255465	5.38473752	5.1381746	4.98862701	5.27654863	4.99181496	5.06972015	4.49864675	4.402005975	5.55517152	4.59113961	5.14310915	4.736832152	5.65986938	5.495472117	5.13993709	5.49565815	5.26303965	4.77670298	5.12540585	4.61104802
MBD3	4.81613175	4.51679154	5.03391126	4.821227	4.88986447	4.97989428	4.704882862	5.10678831	4.64294064	4.88768921	5.38969519	4.57487489	5.37242189	4.87850816	4.49595049	4.86080853	5.31929681	5.01099351	4.35408244	4.32658201	4.92000925	3.87250688	4.78702984	4.77925236	4.64722967	4.97826554	5.01964668	4.85618843	5.15026856	5.217611765	4.91146744	4.42563202	5.34460822	4.623469081	4.46911418	4.543369961	3.93959895	4.96852515	4.75682062	4.64940205	3.03723149	4.31506678
MBD2	5.30911659	5.11772058	5.15753137	4.95928848	5.00135354	5.42825114	4.402274733	5.27517329	4.99134181	5.1584788	4.91423674	4.77403218	5.21065142	5.23817801	5.22481967	5.17985484	5.27794626	5.09492908	4.9009946	5.4197346	4.9948315	5.07639403	5.02247835	5.49471739	4.96228439	5.61862134	5.20523153	5.32919455	4.69824938	4.080055178	5.55048437	4.55401659	4.99199744	4.671140289	5.64393062	5.300461097	4.85445893	5.05892631	5.41492724	5.42166953	5.86103403	5.2081038
MBD1	5.46884713	6.01282692	5.87671059	4.98352207	5.67844273	5.60228096	4.41477184	5.69076384	5.74598473	5.57906107	5.34703362	5.6264116	5.64018127	5.24235123	5.3794303	5.38397376	5.03441858	5.56671594	5.0397042	5.74094058	5.72611455	4.87723764	5.7262162	6.00897898	6.11248251	5.63448017	5.55123512	5.75756941	4.99418374	5.2368242	5.63783173	4.9805278	5.61764523	4.901564053	6.06222948	5.973992955	4.83430117	5.18030308	5.91208398	5.44027388	5.71141259	4.75469262
ZBTB4	6.10059904	7.60118702	7.23452009	5.6696022	6.96034113	6.88772948	4.916895091	6.71011186	6.78326932	6.13956345	7.04325546	6.85398141	6.47527104	6.19643773	5.29676266	6.05650599	5.42352792	7.11371387	5.82489698	6.41022451	7.06010587	5.24640295	7.07995409	6.98289439	7.40467145	7.28161748	6.57539696	6.78854835	5.98949447	6.340741314	5.63283587	6.16745294	6.7268038	5.799053055	6.27823491	7.393753263	4.72463282	6.11675741	7.69366016	6.57258031	4.93095657	4.66130098
ZBTB38	5.05127574	5.21361417	5.67118498	4.30026749	5.78794284	5.33270862	4.870692679	5.79914139	5.0449049	5.18584939	4.71819394	4.22564674	4.80217238	5.25759805	3.60329531	5.41703519	3.58531784	5.18212803	4.68218219	5.97067112	4.6954759	4.59003426	5.1346845	5.68000265	4.46072152	5.86760353	5.46796091	5.74730231	4.34050474	3.452208344	5.25136395	4.01274618	4.25857966	4.45873799	6.0438894	5.56177102	4.20256439	5.66902064	5.83500312	5.7822677	2.04029358	5.48931998
SMUG1	3.32924173	3.79681574	3.80881481	3.56522668	3.58170982	3.85972293	2.90387507	3.21604591	2.58840529	3.64620713	2.89635438	3.32819242	3.45046614	3.79742054	3.51557822	3.5929364	3.73332922	3.64980571	3.33626527	2.78237946	3.96700909	2.85537647	3.48713362	3.90591052	3.79302743	2.9035879	3.05551583	3.1721539	3.11654989	3.694247496	3.72629917	2.94662362	3.19037616	3.068517489	3.37512139	3.784189829	3.49300058	3.47984945	3.76546732	3.48602956	2.55955617	2.15576768
NTHL1	3.06779461	5.03006179	3.6634489	3.74891557	3.57415775	4.10791358	2.584861157	3.79548749	3.87818328	3.32013487	4.51524579	4.06196816	3.22613855	4.09247546	2.41982687	2.63190324	3.86549221	4.19261371	2.98800993	2.37245123	4.59561449	1.98194334	4.11021257	4.15067856	4.44879574	3.64770857	2.74126722	3.43308097	2.8427227	4.438971399	2.85418029	3.35254285	3.49228557	3.142521845	2.51607005	3.856838871	1.48009963	2.96365494	4.28149185	3.36947768	0.63919521	1.66891588
