features	algorithm
UHRF2	Lasso+Stepglm[both]
ZBTB38	Lasso+Stepglm[both]
SMUG1	Lasso+Stepglm[both]
NTHL1	Lasso+Stepglm[both]
UHRF2	SVM
ZBTB33	SVM
MBD4	SVM
MBD3	SVM
MBD2	SVM
MBD1	SVM
ZBTB4	SVM
ZBTB38	SVM
SMUG1	SVM
NTHL1	SVM
TDG	SVM
MECP2	SVM
UNG	SVM
TET3	SVM
TET2	SVM
TET1	SVM
DNMT3B	SVM
DNMT3A	SVM
DNMT1	SVM
MBD4	glmBoost+SVM
ZBTB4	glmBoost+SVM
ZBTB38	glmBoost+SVM
SMUG1	glmBoost+SVM
NTHL1	glmBoost+SVM
TET3	glmBoost+SVM
DNMT3B	glmBoost+SVM
DNMT3A	glmBoost+SVM
UHRF2	Ridge
ZBTB33	Ridge
MBD4	Ridge
MBD3	Ridge
MBD2	Ridge
MBD1	Ridge
ZBTB4	Ridge
ZBTB38	Ridge
SMUG1	Ridge
NTHL1	Ridge
TDG	Ridge
MECP2	Ridge
UNG	Ridge
TET3	Ridge
TET2	Ridge
TET1	Ridge
DNMT3B	Ridge
DNMT3A	Ridge
DNMT1	Ridge
UHRF2	Lasso+SVM
MBD4	Lasso+SVM
ZBTB4	Lasso+SVM
ZBTB38	Lasso+SVM
SMUG1	Lasso+SVM
NTHL1	Lasso+SVM
TET3	Lasso+SVM
DNMT3B	Lasso+SVM
DNMT3A	Lasso+SVM
MBD4	glmBoost+Ridge
ZBTB4	glmBoost+Ridge
ZBTB38	glmBoost+Ridge
SMUG1	glmBoost+Ridge
NTHL1	glmBoost+Ridge
TET3	glmBoost+Ridge
DNMT3B	glmBoost+Ridge
DNMT3A	glmBoost+Ridge
UHRF2	Enet[alpha=0.1]
MBD4	Enet[alpha=0.1]
MBD3	Enet[alpha=0.1]
MBD2	Enet[alpha=0.1]
ZBTB4	Enet[alpha=0.1]
ZBTB38	Enet[alpha=0.1]
SMUG1	Enet[alpha=0.1]
NTHL1	Enet[alpha=0.1]
MECP2	Enet[alpha=0.1]
UNG	Enet[alpha=0.1]
TET3	Enet[alpha=0.1]
TET2	Enet[alpha=0.1]
TET1	Enet[alpha=0.1]
DNMT3B	Enet[alpha=0.1]
DNMT3A	Enet[alpha=0.1]
DNMT1	Enet[alpha=0.1]
MBD4	glmBoost+Enet[alpha=0.1]
ZBTB4	glmBoost+Enet[alpha=0.1]
ZBTB38	glmBoost+Enet[alpha=0.1]
SMUG1	glmBoost+Enet[alpha=0.1]
NTHL1	glmBoost+Enet[alpha=0.1]
TET3	glmBoost+Enet[alpha=0.1]
DNMT3B	glmBoost+Enet[alpha=0.1]
DNMT3A	glmBoost+Enet[alpha=0.1]
UHRF2	Enet[alpha=0.2]
MBD4	Enet[alpha=0.2]
MBD2	Enet[alpha=0.2]
ZBTB4	Enet[alpha=0.2]
ZBTB38	Enet[alpha=0.2]
SMUG1	Enet[alpha=0.2]
NTHL1	Enet[alpha=0.2]
MECP2	Enet[alpha=0.2]
UNG	Enet[alpha=0.2]
TET3	Enet[alpha=0.2]
TET2	Enet[alpha=0.2]
DNMT3B	Enet[alpha=0.2]
DNMT3A	Enet[alpha=0.2]
DNMT1	Enet[alpha=0.2]
UHRF2	Enet[alpha=0.3]
MBD4	Enet[alpha=0.3]
ZBTB4	Enet[alpha=0.3]
ZBTB38	Enet[alpha=0.3]
SMUG1	Enet[alpha=0.3]
NTHL1	Enet[alpha=0.3]
MECP2	Enet[alpha=0.3]
UNG	Enet[alpha=0.3]
TET3	Enet[alpha=0.3]
TET2	Enet[alpha=0.3]
DNMT3B	Enet[alpha=0.3]
DNMT3A	Enet[alpha=0.3]
MBD4	glmBoost+Enet[alpha=0.3]
ZBTB4	glmBoost+Enet[alpha=0.3]
ZBTB38	glmBoost+Enet[alpha=0.3]
SMUG1	glmBoost+Enet[alpha=0.3]
NTHL1	glmBoost+Enet[alpha=0.3]
TET3	glmBoost+Enet[alpha=0.3]
DNMT3B	glmBoost+Enet[alpha=0.3]
DNMT3A	glmBoost+Enet[alpha=0.3]
MBD4	glmBoost+Enet[alpha=0.2]
ZBTB4	glmBoost+Enet[alpha=0.2]
ZBTB38	glmBoost+Enet[alpha=0.2]
SMUG1	glmBoost+Enet[alpha=0.2]
NTHL1	glmBoost+Enet[alpha=0.2]
TET3	glmBoost+Enet[alpha=0.2]
DNMT3B	glmBoost+Enet[alpha=0.2]
DNMT3A	glmBoost+Enet[alpha=0.2]
MBD4	Enet[alpha=0.4]
ZBTB4	Enet[alpha=0.4]
ZBTB38	Enet[alpha=0.4]
SMUG1	Enet[alpha=0.4]
NTHL1	Enet[alpha=0.4]
UNG	Enet[alpha=0.4]
TET3	Enet[alpha=0.4]
DNMT3B	Enet[alpha=0.4]
DNMT3A	Enet[alpha=0.4]
MBD4	glmBoost+Enet[alpha=0.4]
ZBTB4	glmBoost+Enet[alpha=0.4]
ZBTB38	glmBoost+Enet[alpha=0.4]
SMUG1	glmBoost+Enet[alpha=0.4]
NTHL1	glmBoost+Enet[alpha=0.4]
TET3	glmBoost+Enet[alpha=0.4]
DNMT3B	glmBoost+Enet[alpha=0.4]
DNMT3A	glmBoost+Enet[alpha=0.4]
UHRF2	Lasso+glmBoost
MBD4	Lasso+glmBoost
ZBTB4	Lasso+glmBoost
ZBTB38	Lasso+glmBoost
SMUG1	Lasso+glmBoost
NTHL1	Lasso+glmBoost
TET3	Lasso+glmBoost
DNMT3B	Lasso+glmBoost
DNMT3A	Lasso+glmBoost
UHRF2	Enet[alpha=0.5]
MBD4	Enet[alpha=0.5]
ZBTB4	Enet[alpha=0.5]
ZBTB38	Enet[alpha=0.5]
SMUG1	Enet[alpha=0.5]
NTHL1	Enet[alpha=0.5]
UNG	Enet[alpha=0.5]
TET3	Enet[alpha=0.5]
DNMT3B	Enet[alpha=0.5]
DNMT3A	Enet[alpha=0.5]
MBD4	glmBoost
ZBTB4	glmBoost
ZBTB38	glmBoost
SMUG1	glmBoost
NTHL1	glmBoost
TET3	glmBoost
DNMT3B	glmBoost
DNMT3A	glmBoost
MBD4	glmBoost+Enet[alpha=0.5]
ZBTB4	glmBoost+Enet[alpha=0.5]
ZBTB38	glmBoost+Enet[alpha=0.5]
SMUG1	glmBoost+Enet[alpha=0.5]
NTHL1	glmBoost+Enet[alpha=0.5]
TET3	glmBoost+Enet[alpha=0.5]
DNMT3B	glmBoost+Enet[alpha=0.5]
DNMT3A	glmBoost+Enet[alpha=0.5]
MBD4	Enet[alpha=0.6]
ZBTB4	Enet[alpha=0.6]
ZBTB38	Enet[alpha=0.6]
SMUG1	Enet[alpha=0.6]
NTHL1	Enet[alpha=0.6]
TET3	Enet[alpha=0.6]
DNMT3B	Enet[alpha=0.6]
DNMT3A	Enet[alpha=0.6]
MBD4	glmBoost+Enet[alpha=0.6]
ZBTB4	glmBoost+Enet[alpha=0.6]
