Training	GSE251778_M	GSE251778_F	GSE52790
Lasso+Stepglm[both]	0.8128662109375	0.67156862745098	0.608	0.708333333333333
SVM	0.825439453125	0.688235294117647	0.629818181818182	0.558333333333333
glmBoost+SVM	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Ridge	0.825439453125	0.688235294117647	0.629818181818182	0.558333333333333
Lasso+SVM	0.818115234375	0.688235294117647	0.613818181818182	0.633333333333333
glmBoost+Ridge	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Enet[alpha=0.1]	0.822265625	0.67843137254902	0.618545454545455	0.55
glmBoost+Enet[alpha=0.1]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Enet[alpha=0.2]	0.7979736328125	0.684313725490196	0.614545454545455	0.641666666666667
Enet[alpha=0.3]	0.79736328125	0.690196078431373	0.611272727272727	0.65
glmBoost+Enet[alpha=0.3]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
glmBoost+Enet[alpha=0.2]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Enet[alpha=0.4]	0.79736328125	0.690196078431373	0.611272727272727	0.65
glmBoost+Enet[alpha=0.4]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Lasso+glmBoost	0.8173828125	0.675490196078431	0.614181818181818	0.658333333333333
Enet[alpha=0.5]	0.818115234375	0.688235294117647	0.613818181818182	0.633333333333333
glmBoost	0.7989501953125	0.686274509803922	0.609090909090909	0.675
glmBoost+Enet[alpha=0.5]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Enet[alpha=0.6]	0.7994384765625	0.688235294117647	0.614545454545455	0.675
glmBoost+Enet[alpha=0.6]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
glmBoost+Enet[alpha=0.7]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
glmBoost+Enet[alpha=0.8]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Enet[alpha=0.8]	0.7994384765625	0.688235294117647	0.614545454545455	0.675
Enet[alpha=0.9]	0.7994384765625	0.688235294117647	0.614545454545455	0.675
Lasso	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Enet[alpha=0.7]	0.7994384765625	0.688235294117647	0.614545454545455	0.675
glmBoost+Enet[alpha=0.9]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
glmBoost+Lasso	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Lasso+plsRglm	0.818115234375	0.688235294117647	0.613818181818182	0.633333333333333
glmBoost+plsRglm	0.7989501953125	0.686274509803922	0.609090909090909	0.675
glmBoost+Stepglm[forward]	0.7989501953125	0.686274509803922	0.609090909090909	0.675
Lasso+Stepglm[forward]	0.818115234375	0.688235294117647	0.613818181818182	0.633333333333333
RF+SVM	0.7823486328125	0.663725490196078	0.588363636363636	0.691666666666667
Stepglm[forward]	0.825439453125	0.688235294117647	0.629818181818182	0.558333333333333
plsRglm	0.825439453125	0.688235294117647	0.629818181818182	0.558333333333333
RF+Ridge	0.7823486328125	0.663725490196078	0.588363636363636	0.691666666666667
RF+Enet[alpha=0.1]	0.7823486328125	0.663725490196078	0.588363636363636	0.691666666666667
RF+plsRglm	0.7823486328125	0.663725490196078	0.588363636363636	0.691666666666667
RF+Stepglm[forward]	0.7823486328125	0.663725490196078	0.588363636363636	0.691666666666667
RF+Enet[alpha=0.2]	0.7823486328125	0.663725490196078	0.588363636363636	0.691666666666667
RF+Enet[alpha=0.3]	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Enet[alpha=0.6]	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Lasso	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Enet[alpha=0.7]	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Enet[alpha=0.5]	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+glmBoost	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Enet[alpha=0.9]	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Enet[alpha=0.4]	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Enet[alpha=0.8]	0.7850341796875	0.665686274509804	0.583272727272727	0.7
RF+Stepglm[both]	0.77392578125	0.669607843137255	0.569818181818182	0.658333333333333
RF+Stepglm[backward]	0.77392578125	0.669607843137255	0.569818181818182	0.658333333333333
Stepglm[both]+Ridge	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Ridge	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+plsRglm	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+plsRglm	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+Enet[alpha=0.9]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Enet[alpha=0.9]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+Enet[alpha=0.1]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Enet[alpha=0.1]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+Enet[alpha=0.8]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Enet[alpha=0.8]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+Enet[alpha=0.2]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Enet[alpha=0.2]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+Lasso	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Lasso	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+Enet[alpha=0.6]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Enet[alpha=0.6]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[both]+Enet[alpha=0.7]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]+Enet[alpha=0.7]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Lasso+Stepglm[backward]	0.8128662109375	0.67156862745098	0.608	0.708333333333333
Stepglm[both]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
Stepglm[backward]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
glmBoost+Stepglm[both]	0.7921142578125	0.675490196078431	0.609454545454545	0.775
glmBoost+Stepglm[backward]	0.7921142578125	0.675490196078431	0.609454545454545	0.775
Stepglm[both]+Enet[alpha=0.4]	0.8221435546875	0.629411764705882	0.596363636363636	0.625
