	Lasso+Stepglm[both]	SVM	glmBoost+SVM	Ridge	Lasso+SVM	glmBoost+Ridge	Enet[alpha=0.1]	glmBoost+Enet[alpha=0.1]	Enet[alpha=0.2]	Enet[alpha=0.3]	glmBoost+Enet[alpha=0.3]	glmBoost+Enet[alpha=0.2]	Enet[alpha=0.4]	glmBoost+Enet[alpha=0.4]	Lasso+glmBoost	Enet[alpha=0.5]	glmBoost	glmBoost+Enet[alpha=0.5]	Enet[alpha=0.6]	glmBoost+Enet[alpha=0.6]	glmBoost+Enet[alpha=0.7]	glmBoost+Enet[alpha=0.8]	Enet[alpha=0.8]	Enet[alpha=0.9]	Lasso	Enet[alpha=0.7]	glmBoost+Enet[alpha=0.9]	glmBoost+Lasso	Lasso+plsRglm	glmBoost+plsRglm	glmBoost+Stepglm[forward]	Lasso+Stepglm[forward]	RF+SVM	Stepglm[forward]	plsRglm	RF+Ridge	RF+Enet[alpha=0.1]	RF+plsRglm	RF+Stepglm[forward]	RF+Enet[alpha=0.2]	RF+Enet[alpha=0.3]	RF+Enet[alpha=0.6]	RF+Lasso	RF+Enet[alpha=0.7]	RF+Enet[alpha=0.5]	RF+glmBoost	RF+Enet[alpha=0.9]	RF+Enet[alpha=0.4]	RF+Enet[alpha=0.8]	RF+Stepglm[both]	RF+Stepglm[backward]	Stepglm[both]+Ridge	Stepglm[backward]+Ridge	Stepglm[both]+plsRglm	Stepglm[backward]+plsRglm	Stepglm[both]+Enet[alpha=0.9]	Stepglm[backward]+Enet[alpha=0.9]	Stepglm[both]+Enet[alpha=0.1]	Stepglm[backward]+Enet[alpha=0.1]	Stepglm[both]+Enet[alpha=0.8]	Stepglm[backward]+Enet[alpha=0.8]	Stepglm[both]+Enet[alpha=0.2]	Stepglm[backward]+Enet[alpha=0.2]	Stepglm[both]+Lasso	Stepglm[backward]+Lasso	Stepglm[both]+Enet[alpha=0.6]	Stepglm[backward]+Enet[alpha=0.6]	Stepglm[both]+Enet[alpha=0.7]	Stepglm[backward]+Enet[alpha=0.7]	Lasso+Stepglm[backward]	Stepglm[both]	Stepglm[backward]	glmBoost+Stepglm[both]	glmBoost+Stepglm[backward]	Stepglm[both]+Enet[alpha=0.4]	Stepglm[backward]+Enet[alpha=0.4]	Stepglm[both]+Enet[alpha=0.3]	Stepglm[backward]+Enet[alpha=0.3]	Stepglm[both]+glmBoost	Stepglm[backward]+glmBoost	Stepglm[both]+Enet[alpha=0.5]	Stepglm[backward]+Enet[alpha=0.5]	glmBoost+RF	RF	Stepglm[both]+SVM	Stepglm[backward]+SVM	Stepglm[both]+RF	LDA	glmBoost+LDA	RF+LDA	Stepglm[both]+LDA	Stepglm[backward]+LDA	Lasso+LDA	XGBoost	Lasso+XGBoost	glmBoost+XGBoost	RF+XGBoost	Stepglm[both]+XGBoost	Stepglm[backward]+XGBoost	NaiveBayes	Lasso+NaiveBayes	glmBoost+NaiveBayes	RF+NaiveBayes	Stepglm[both]+NaiveBayes	Stepglm[backward]+NaiveBayes
GSM2612096	0.611738237447841	0.551085192907092	0.548460547452945	0.551085192907092	0.622214039018086	0.548460547452945	0.600319830446804	0.548460547452945	0.578332911243119	0.543199198412485	0.548460547452945	0.548460547452945	0.543199198412485	0.548460547452945	0.623675911321138	0.622214039018086	0.548460547452945	0.548460547452945	0.54243655230822	0.548460547452945	0.548460547452945	0.548460547452945	0.54243655230822	0.54243655230822	0.548460547452945	0.54243655230822	0.548460547452945	0.548460547452945	0.622214039018086	0.548460547452945	0.548460547452945	0.622214039018086	0.767999776237018	0.551085192907092	0.551085192907092	0.767999776237018	0.767999776237018	0.767999776237018	0.767999776237018	0.767999776237018	0.783346731743246	0.783346731743246	0.783346731743246	0.783346731743246	0.783346731743246	0.783346731743246	0.783346731743246	0.783346731743246	0.783346731743246	0.827268134114181	0.827268134114181	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.611738237447841	0.65761834300036	0.65761834300036	0.504551575058671	0.504551575058671	0.65761834300036	0.65761834300036	0.65761834300036	0.65761834300036	0.647911490080323	0.647911490080323	0.65761834300036	0.65761834300036	0.762534470786507	0.769468643731132	0.65761834300036	0.65761834300036	0.762534470786507	0.551085192907092	0.548460547452945	0.767999776237018	0.65761834300036	0.65761834300036	0.622214039018086	0.551085192907092	0.622214039018086	0.548460547452945	0.767999776237018	0.65761834300036	0.65761834300036	0.551085192907092	0.622214039018086	0.548460547452945	0.767999776237018	0.65761834300036	0.65761834300036
GSM2612097	0.282344321612504	0.389009426090001	0.449069811215537	0.389009426090001	0.341143198923902	0.449069811215537	0.38776659113961	0.449069811215537	0.440420328099619	0.471310638609725	0.449069811215537	0.449069811215537	0.471310638609725	0.449069811215537	0.321552589041323	0.341143198923902	0.449069811215537	0.449069811215537	0.45108043261652	0.449069811215537	0.449069811215537	0.449069811215537	0.45108043261652	0.45108043261652	0.449069811215537	0.45108043261652	0.449069811215537	0.449069811215537	0.341143198923902	0.449069811215537	0.449069811215537	0.341143198923902	0.421608829906385	0.389009426090001	0.389009426090001	0.421608829906385	0.421608829906385	0.421608829906385	0.421608829906385	0.421608829906385	0.432945207175916	0.432945207175916	0.432945207175916	0.432945207175916	0.432945207175916	0.432945207175916	0.432945207175916	0.432945207175916	0.432945207175916	0.472762569283803	0.472762569283803	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.282344321612504	0.300126821969549	0.300126821969549	0.401596074190267	0.401596074190267	0.300126821969549	0.300126821969549	0.300126821969549	0.300126821969549	0.285448136364651	0.285448136364651	0.300126821969549	0.300126821969549	0.486085730103349	0.451061129238154	0.300126821969549	0.300126821969549	0.486085730103349	0.389009426090001	0.449069811215537	0.421608829906385	0.300126821969549	0.300126821969549	0.341143198923902	0.389009426090001	0.341143198923902	0.449069811215537	0.421608829906385	0.300126821969549	0.300126821969549	0.389009426090001	0.341143198923902	0.449069811215537	0.421608829906385	0.300126821969549	0.300126821969549
GSM2612098	0.191952658005257	0.128371474680505	0.239169231416279	0.128371474680505	0.207321834045925	0.239169231416279	0.135665825280799	0.239169231416279	0.241713811779949	0.24707954064906	0.239169231416279	0.239169231416279	0.24707954064906	0.239169231416279	0.222955993674581	0.207321834045925	0.239169231416279	0.239169231416279	0.255583979314475	0.239169231416279	0.239169231416279	0.239169231416279	0.255583979314475	0.255583979314475	0.239169231416279	0.255583979314475	0.239169231416279	0.239169231416279	0.207321834045925	0.239169231416279	0.239169231416279	0.207321834045925	0.260016712249596	0.128371474680505	0.128371474680505	0.260016712249596	0.260016712249596	0.260016712249596	0.260016712249596	0.260016712249596	0.246932450674225	0.246932450674225	0.246932450674225	0.246932450674225	0.246932450674225	0.246932450674225	0.246932450674225	0.246932450674225	0.246932450674225	0.277068237874946	0.277068237874946	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.191952658005257	0.175849004754841	0.175849004754841	0.281303836215693	0.281303836215693	0.175849004754841	0.175849004754841	0.175849004754841	0.175849004754841	0.228677717714158	0.228677717714158	0.175849004754841	0.175849004754841	0.232411867756622	0.195081381547265	0.175849004754841	0.175849004754841	0.232411867756622	0.128371474680505	0.239169231416279	0.260016712249596	0.175849004754841	0.175849004754841	0.207321834045925	0.128371474680505	0.207321834045925	0.239169231416279	0.260016712249596	0.175849004754841	0.175849004754841	0.128371474680505	0.207321834045925	0.239169231416279	0.260016712249596	0.175849004754841	0.175849004754841
GSM2612099	0.824716670908394	0.7915544827643	0.769711073649681	0.7915544827643	0.824521958406362	0.769711073649681	0.826248288541249	0.769711073649681	0.763729311615172	0.771291576041296	0.769711073649681	0.769711073649681	0.771291576041296	0.769711073649681	0.839746386980308	0.824521958406362	0.769711073649681	0.769711073649681	0.788415602717777	0.769711073649681	0.769711073649681	0.769711073649681	0.788415602717777	0.788415602717777	0.769711073649681	0.788415602717777	0.769711073649681	0.769711073649681	0.824521958406362	0.769711073649681	0.769711073649681	0.824521958406362	0.731656984587964	0.7915544827643	0.7915544827643	0.731656984587964	0.731656984587964	0.731656984587964	0.731656984587964	0.731656984587964	0.682305671448094	0.682305671448094	0.682305671448094	0.682305671448094	0.682305671448094	0.682305671448094	0.682305671448094	0.682305671448094	0.682305671448094	0.732080753345773	0.732080753345773	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.824716670908394	0.853079783709247	0.853079783709247	0.752552427648377	0.752552427648377	0.853079783709247	0.853079783709247	0.853079783709247	0.853079783709247	0.86248030366121	0.86248030366121	0.853079783709247	0.853079783709247	0.501156142059654	0.644225716768114	0.853079783709247	0.853079783709247	0.501156142059653	0.7915544827643	0.769711073649681	0.731656984587964	0.853079783709247	0.853079783709247	0.824521958406362	0.7915544827643	0.824521958406362	0.769711073649681	0.731656984587964	0.853079783709247	0.853079783709247	0.7915544827643	0.824521958406362	0.769711073649681	0.731656984587964	0.853079783709247	0.853079783709247
GSM2612100	0.60334596988845	0.64342012285229	0.632943792256912	0.64342012285229	0.595187215899705	0.632943792256912	0.660012772901356	0.632943792256912	0.637266680181126	0.635907919184201	0.632943792256912	0.632943792256912	0.635907919184201	0.632943792256912	0.617563548459571	0.595187215899705	0.632943792256912	0.632943792256912	0.647413191500464	0.632943792256912	0.632943792256912	0.632943792256912	0.647413191500464	0.647413191500464	0.632943792256912	0.647413191500464	0.632943792256912	0.632943792256912	0.595187215899705	0.632943792256912	0.632943792256912	0.595187215899705	0.622614804919788	0.64342012285229	0.64342012285229	0.622614804919788	0.622614804919788	0.622614804919788	0.622614804919788	0.622614804919788	0.637731622960043	0.637731622960043	0.637731622960043	0.637731622960043	0.637731622960043	0.637731622960043	0.637731622960043	0.637731622960043	0.637731622960043	0.663352199788677	0.663352199788677	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.60334596988845	0.614232459395136	0.614232459395136	0.658283991390577	0.658283991390577	0.614232459395136	0.614232459395136	0.614232459395136	0.614232459395136	0.557952074003443	0.557952074003443	0.614232459395136	0.614232459395136	0.761160347633804	0.629820667508129	0.614232459395136	0.614232459395136	0.761160347633804	0.64342012285229	0.632943792256912	0.622614804919788	0.614232459395136	0.614232459395136	0.595187215899705	0.64342012285229	0.595187215899705	0.632943792256912	0.622614804919788	0.614232459395136	0.614232459395136	0.64342012285229	0.595187215899705	0.632943792256912	0.622614804919788	0.614232459395136	0.614232459395136
GSM2612101	0.73905096145504	0.608117997795444	0.62663437284066	0.608117997795444	0.718869975773886	0.62663437284066	0.588000994328642	0.62663437284066	0.596648047959849	0.601605341072853	0.62663437284066	0.62663437284066	0.601605341072853	0.62663437284066	0.748002797421286	0.718869975773886	0.62663437284066	0.62663437284066	0.627163609586198	0.62663437284066	0.62663437284066	0.62663437284066	0.627163609586198	0.627163609586198	0.62663437284066	0.627163609586198	0.62663437284066	0.62663437284066	0.718869975773886	0.62663437284066	0.62663437284066	0.718869975773886	0.596809580709752	0.608117997795444	0.608117997795444	0.596809580709752	0.596809580709752	0.596809580709752	0.596809580709752	0.596809580709752	0.614744108317923	0.614744108317923	0.614744108317923	0.614744108317923	0.614744108317923	0.614744108317923	0.614744108317923	0.614744108317923	0.614744108317923	0.616441611177131	0.616441611177131	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.73905096145504	0.693070897517667	0.693070897517667	0.598121530591481	0.598121530591481	0.693070897517667	0.693070897517667	0.693070897517667	0.693070897517667	0.764932340249351	0.764932340249351	0.693070897517667	0.693070897517667	0.546328761395872	0.618196791760245	0.693070897517667	0.693070897517667	0.546328761395872	0.608117997795444	0.62663437284066	0.596809580709752	0.693070897517667	0.693070897517667	0.718869975773886	0.608117997795444	0.718869975773886	0.62663437284066	0.596809580709752	0.693070897517667	0.693070897517667	0.608117997795444	0.718869975773886	0.62663437284066	0.596809580709752	0.693070897517667	0.693070897517667
GSM2612102	0.282593496946663	0.183341388134069	0.36575322413515	0.183341388134069	0.203772661105229	0.36575322413515	0.128532851171312	0.36575322413515	0.343478054861311	0.327779724696763	0.36575322413515	0.36575322413515	0.327779724696763	0.36575322413515	0.234722478245766	0.203772661105229	0.36575322413515	0.36575322413515	0.346792032102417	0.36575322413515	0.36575322413515	0.36575322413515	0.346792032102417	0.346792032102417	0.36575322413515	0.346792032102417	0.36575322413515	0.36575322413515	0.203772661105229	0.36575322413515	0.36575322413515	0.203772661105229	0.378888226308644	0.183341388134069	0.183341388134069	0.378888226308644	0.378888226308644	0.378888226308644	0.378888226308644	0.378888226308644	0.391466713340536	0.391466713340536	0.391466713340536	0.391466713340536	0.391466713340536	0.391466713340536	0.391466713340536	0.391466713340536	0.391466713340536	0.406761726069704	0.406761726069704	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.282593496946663	0.251416515965504	0.251416515965504	0.390608792427016	0.390608792427016	0.251416515965504	0.251416515965504	0.251416515965504	0.251416515965504	0.300390984220518	0.300390984220518	0.251416515965504	0.251416515965504	0.526950501095536	0.368698375479676	0.251416515965504	0.251416515965504	0.526950501095535	0.183341388134069	0.36575322413515	0.378888226308644	0.251416515965504	0.251416515965504	0.203772661105229	0.183341388134069	0.203772661105229	0.36575322413515	0.378888226308644	0.251416515965504	0.251416515965504	0.183341388134069	0.203772661105229	0.36575322413515	0.378888226308644	0.251416515965504	0.251416515965504
GSM2612103	0.828116626492836	0.786021548428259	0.739773997581511	0.786021548428259	0.814040714484649	0.739773997581511	0.788724812588106	0.739773997581511	0.733903168545659	0.744506399609293	0.739773997581511	0.739773997581511	0.744506399609293	0.739773997581511	0.804243594238315	0.814040714484649	0.739773997581511	0.739773997581511	0.736052678928	0.739773997581511	0.739773997581511	0.739773997581511	0.736052678928	0.736052678928	0.739773997581511	0.736052678928	0.739773997581511	0.739773997581511	0.814040714484649	0.739773997581511	0.739773997581511	0.814040714484649	0.503441324605657	0.786021548428259	0.786021548428259	0.503441324605657	0.503441324605657	0.503441324605657	0.503441324605657	0.503441324605657	0.52708880837939	0.52708880837939	0.52708880837939	0.52708880837939	0.52708880837939	0.52708880837939	0.52708880837939	0.52708880837939	0.52708880837939	0.64137964242709	0.64137964242709	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.828116626492836	0.655839501792698	0.655839501792698	0.725042454158578	0.725042454158578	0.655839501792698	0.655839501792698	0.655839501792698	0.655839501792698	0.725341733396278	0.725341733396278	0.655839501792698	0.655839501792698	0.451465440461356	0.638932823270105	0.655839501792698	0.655839501792698	0.451465440461356	0.786021548428259	0.739773997581511	0.503441324605657	0.655839501792698	0.655839501792698	0.814040714484649	0.786021548428259	0.814040714484649	0.739773997581511	0.503441324605657	0.655839501792698	0.655839501792698	0.786021548428259	0.814040714484649	0.739773997581511	0.503441324605657	0.655839501792698	0.655839501792698
GSM2612104	0.28315243986053	0.199003010562547	0.498524408227086	0.199003010562547	0.289749510634169	0.498524408227086	0.258947177503991	0.498524408227086	0.491294152054667	0.514992173064394	0.498524408227086	0.498524408227086	0.514992173064394	0.498524408227086	0.296783668819088	0.289749510634169	0.498524408227086	0.498524408227086	0.510536316817027	0.498524408227086	0.498524408227086	0.498524408227086	0.510536316817027	0.510536316817027	0.498524408227086	0.510536316817027	0.498524408227086	0.498524408227086	0.289749510634169	0.498524408227086	0.498524408227086	0.289749510634169	0.452658041039393	0.199003010562547	0.199003010562547	0.452658041039393	0.452658041039393	0.452658041039393	0.452658041039393	0.452658041039393	0.483194400782158	0.483194400782158	0.483194400782158	0.483194400782158	0.483194400782158	0.483194400782158	0.483194400782158	0.483194400782158	0.483194400782158	0.51867213829008	0.51867213829008	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.28315243986053	0.260613046284825	0.260613046284825	0.507831643595445	0.507831643595445	0.260613046284825	0.260613046284825	0.260613046284825	0.260613046284825	0.273101668723968	0.273101668723968	0.260613046284825	0.260613046284825	0.487787231231933	0.491114998430731	0.260613046284825	0.260613046284825	0.487787231231933	0.199003010562547	0.498524408227086	0.452658041039393	0.260613046284825	0.260613046284825	0.289749510634169	0.199003010562547	0.289749510634169	0.498524408227086	0.452658041039393	0.260613046284825	0.260613046284825	0.199003010562547	0.289749510634169	0.498524408227086	0.452658041039393	0.260613046284825	0.260613046284825
GSM2612105	0.50933337560937	0.485453242442648	0.559982808718718	0.485453242442648	0.54571489453456	0.559982808718718	0.520813376553252	0.559982808718718	0.567395800409231	0.569791917182535	0.559982808718718	0.559982808718718	0.569791917182535	0.559982808718718	0.519666249180416	0.54571489453456	0.559982808718718	0.559982808718718	0.554177780970655	0.559982808718718	0.559982808718718	0.559982808718718	0.554177780970655	0.554177780970655	0.559982808718718	0.554177780970655	0.559982808718718	0.559982808718718	0.54571489453456	0.559982808718718	0.559982808718718	0.54571489453456	0.528457367384701	0.485453242442648	0.485453242442648	0.528457367384701	0.528457367384701	0.528457367384701	0.528457367384701	0.528457367384701	0.53478087423314	0.53478087423314	0.53478087423314	0.53478087423314	0.53478087423314	0.53478087423314	0.53478087423314	0.53478087423314	0.53478087423314	0.502058432136778	0.502058432136778	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.50933337560937	0.486638633452334	0.486638633452334	0.536921485725717	0.536921485725717	0.486638633452334	0.486638633452334	0.486638633452334	0.486638633452334	0.514020758324994	0.514020758324994	0.486638633452334	0.486638633452334	0.60403739631642	0.55795291430886	0.486638633452334	0.486638633452334	0.60403739631642	0.485453242442648	0.559982808718718	0.528457367384701	0.486638633452334	0.486638633452334	0.54571489453456	0.485453242442648	0.54571489453456	0.559982808718718	0.528457367384701	0.486638633452334	0.486638633452334	0.485453242442648	0.54571489453456	0.559982808718718	0.528457367384701	0.486638633452334	0.486638633452334
