features	algorithm
KLRB1	Lasso+Stepglm[both]
IFI27	Lasso+Stepglm[both]
CAMP	Lasso+Stepglm[both]
CEACAM6	Lasso+Stepglm[both]
HP	Lasso+Stepglm[both]
S100A12	Lasso+Stepglm[both]
C9orf66	Lasso+Stepglm[both]
WDR41	Lasso+Stepglm[both]
MMP8	Lasso+Stepglm[both]
TSHZ3	Lasso+Stepglm[both]
KLRG1	SVM
KLRB1	SVM
SYTL2	SVM
IFI27	SVM
RSAD2	SVM
OLFM4	SVM
TNFAIP6	SVM
CAMP	SVM
SIPA1L2	SVM
DEFA4	SVM
MPO	SVM
TCN1	SVM
SLC26A8	SVM
CEACAM8	SVM
DDX60L	SVM
CEACAM6	SVM
HP	SVM
S100A12	SVM
CACNA1E	SVM
SLPI	SVM
RNASE3	SVM
C9orf66	SVM
ELANE	SVM
WDR41	SVM
SERPING1	SVM
CLEC5A	SVM
MMP8	SVM
NSUN7	SVM
TSHZ3	SVM
KLRG1	glmBoost+SVM
KLRB1	glmBoost+SVM
IFI27	glmBoost+SVM
SIPA1L2	glmBoost+SVM
CEACAM6	glmBoost+SVM
HP	glmBoost+SVM
S100A12	glmBoost+SVM
C9orf66	glmBoost+SVM
WDR41	glmBoost+SVM
MMP8	glmBoost+SVM
TSHZ3	glmBoost+SVM
KLRG1	Ridge
KLRB1	Ridge
SYTL2	Ridge
IFI27	Ridge
RSAD2	Ridge
OLFM4	Ridge
TNFAIP6	Ridge
CAMP	Ridge
SIPA1L2	Ridge
DEFA4	Ridge
MPO	Ridge
TCN1	Ridge
SLC26A8	Ridge
CEACAM8	Ridge
DDX60L	Ridge
CEACAM6	Ridge
HP	Ridge
S100A12	Ridge
CACNA1E	Ridge
SLPI	Ridge
RNASE3	Ridge
C9orf66	Ridge
ELANE	Ridge
WDR41	Ridge
SERPING1	Ridge
CLEC5A	Ridge
MMP8	Ridge
NSUN7	Ridge
TSHZ3	Ridge
KLRG1	Lasso+SVM
KLRB1	Lasso+SVM
SYTL2	Lasso+SVM
IFI27	Lasso+SVM
CAMP	Lasso+SVM
SIPA1L2	Lasso+SVM
CEACAM6	Lasso+SVM
HP	Lasso+SVM
S100A12	Lasso+SVM
C9orf66	Lasso+SVM
ELANE	Lasso+SVM
WDR41	Lasso+SVM
SERPING1	Lasso+SVM
MMP8	Lasso+SVM
TSHZ3	Lasso+SVM
KLRG1	glmBoost+Ridge
KLRB1	glmBoost+Ridge
IFI27	glmBoost+Ridge
SIPA1L2	glmBoost+Ridge
CEACAM6	glmBoost+Ridge
HP	glmBoost+Ridge
S100A12	glmBoost+Ridge
C9orf66	glmBoost+Ridge
WDR41	glmBoost+Ridge
MMP8	glmBoost+Ridge
TSHZ3	glmBoost+Ridge
KLRG1	Enet[alpha=0.1]
KLRB1	Enet[alpha=0.1]
SYTL2	Enet[alpha=0.1]
IFI27	Enet[alpha=0.1]
RSAD2	Enet[alpha=0.1]
OLFM4	Enet[alpha=0.1]
CAMP	Enet[alpha=0.1]
SIPA1L2	Enet[alpha=0.1]
MPO	Enet[alpha=0.1]
SLC26A8	Enet[alpha=0.1]
DDX60L	Enet[alpha=0.1]
CEACAM6	Enet[alpha=0.1]
HP	Enet[alpha=0.1]
S100A12	Enet[alpha=0.1]
CACNA1E	Enet[alpha=0.1]
C9orf66	Enet[alpha=0.1]
ELANE	Enet[alpha=0.1]
WDR41	Enet[alpha=0.1]
SERPING1	Enet[alpha=0.1]
MMP8	Enet[alpha=0.1]
TSHZ3	Enet[alpha=0.1]
KLRG1	glmBoost+Enet[alpha=0.1]
KLRB1	glmBoost+Enet[alpha=0.1]
IFI27	glmBoost+Enet[alpha=0.1]
SIPA1L2	glmBoost+Enet[alpha=0.1]
CEACAM6	glmBoost+Enet[alpha=0.1]
HP	glmBoost+Enet[alpha=0.1]
S100A12	glmBoost+Enet[alpha=0.1]
C9orf66	glmBoost+Enet[alpha=0.1]
WDR41	glmBoost+Enet[alpha=0.1]
MMP8	glmBoost+Enet[alpha=0.1]
TSHZ3	glmBoost+Enet[alpha=0.1]
KLRG1	Enet[alpha=0.2]
KLRB1	Enet[alpha=0.2]
SYTL2	Enet[alpha=0.2]
IFI27	Enet[alpha=0.2]
RSAD2	Enet[alpha=0.2]
SIPA1L2	Enet[alpha=0.2]
DDX60L	Enet[alpha=0.2]
CEACAM6	Enet[alpha=0.2]
HP	Enet[alpha=0.2]
S100A12	Enet[alpha=0.2]
CACNA1E	Enet[alpha=0.2]
C9orf66	Enet[alpha=0.2]
ELANE	Enet[alpha=0.2]
WDR41	Enet[alpha=0.2]
SERPING1	Enet[alpha=0.2]
MMP8	Enet[alpha=0.2]
TSHZ3	Enet[alpha=0.2]
KLRG1	Enet[alpha=0.3]
KLRB1	Enet[alpha=0.3]
SYTL2	Enet[alpha=0.3]
IFI27	Enet[alpha=0.3]
RSAD2	Enet[alpha=0.3]
SIPA1L2	Enet[alpha=0.3]
DDX60L	Enet[alpha=0.3]
CEACAM6	Enet[alpha=0.3]
HP	Enet[alpha=0.3]
S100A12	Enet[alpha=0.3]
C9orf66	Enet[alpha=0.3]
ELANE	Enet[alpha=0.3]
WDR41	Enet[alpha=0.3]
SERPING1	Enet[alpha=0.3]
MMP8	Enet[alpha=0.3]
TSHZ3	Enet[alpha=0.3]
KLRG1	glmBoost+Enet[alpha=0.3]
KLRB1	glmBoost+Enet[alpha=0.3]
IFI27	glmBoost+Enet[alpha=0.3]
SIPA1L2	glmBoost+Enet[alpha=0.3]
CEACAM6	glmBoost+Enet[alpha=0.3]
HP	glmBoost+Enet[alpha=0.3]
S100A12	glmBoost+Enet[alpha=0.3]
C9orf66	glmBoost+Enet[alpha=0.3]
WDR41	glmBoost+Enet[alpha=0.3]
MMP8	glmBoost+Enet[alpha=0.3]
TSHZ3	glmBoost+Enet[alpha=0.3]
KLRG1	glmBoost+Enet[alpha=0.2]
KLRB1	glmBoost+Enet[alpha=0.2]
IFI27	glmBoost+Enet[alpha=0.2]
SIPA1L2	glmBoost+Enet[alpha=0.2]
CEACAM6	glmBoost+Enet[alpha=0.2]
HP	glmBoost+Enet[alpha=0.2]
S100A12	glmBoost+Enet[alpha=0.2]
C9orf66	glmBoost+Enet[alpha=0.2]
WDR41	glmBoost+Enet[alpha=0.2]
MMP8	glmBoost+Enet[alpha=0.2]
TSHZ3	glmBoost+Enet[alpha=0.2]
KLRG1	Enet[alpha=0.4]
KLRB1	Enet[alpha=0.4]
SYTL2	Enet[alpha=0.4]
IFI27	Enet[alpha=0.4]
RSAD2	Enet[alpha=0.4]
SIPA1L2	Enet[alpha=0.4]
DDX60L	Enet[alpha=0.4]
CEACAM6	Enet[alpha=0.4]
HP	Enet[alpha=0.4]
S100A12	Enet[alpha=0.4]
C9orf66	Enet[alpha=0.4]
ELANE	Enet[alpha=0.4]
WDR41	Enet[alpha=0.4]
SERPING1	Enet[alpha=0.4]
MMP8	Enet[alpha=0.4]
TSHZ3	Enet[alpha=0.4]
KLRG1	glmBoost+Enet[alpha=0.4]
KLRB1	glmBoost+Enet[alpha=0.4]
IFI27	glmBoost+Enet[alpha=0.4]
SIPA1L2	glmBoost+Enet[alpha=0.4]
CEACAM6	glmBoost+Enet[alpha=0.4]
HP	glmBoost+Enet[alpha=0.4]
S100A12	glmBoost+Enet[alpha=0.4]
C9orf66	glmBoost+Enet[alpha=0.4]
WDR41	glmBoost+Enet[alpha=0.4]
MMP8	glmBoost+Enet[alpha=0.4]
TSHZ3	glmBoost+Enet[alpha=0.4]
KLRG1	Lasso+glmBoost
KLRB1	Lasso+glmBoost
IFI27	Lasso+glmBoost
CAMP	Lasso+glmBoost
SIPA1L2	Lasso+glmBoost
CEACAM6	Lasso+glmBoost
HP	Lasso+glmBoost
S100A12	Lasso+glmBoost
C9orf66	Lasso+glmBoost
WDR41	Lasso+glmBoost
SERPING1	Lasso+glmBoost
MMP8	Lasso+glmBoost
TSHZ3	Lasso+glmBoost
KLRG1	Enet[alpha=0.5]
KLRB1	Enet[alpha=0.5]
SYTL2	Enet[alpha=0.5]
IFI27	Enet[alpha=0.5]
CAMP	Enet[alpha=0.5]
SIPA1L2	Enet[alpha=0.5]
CEACAM6	Enet[alpha=0.5]
HP	Enet[alpha=0.5]
S100A12	Enet[alpha=0.5]
C9orf66	Enet[alpha=0.5]
ELANE	Enet[alpha=0.5]
WDR41	Enet[alpha=0.5]
SERPING1	Enet[alpha=0.5]
MMP8	Enet[alpha=0.5]
TSHZ3	Enet[alpha=0.5]
KLRG1	glmBoost
KLRB1	glmBoost
IFI27	glmBoost
SIPA1L2	glmBoost
CEACAM6	glmBoost
HP	glmBoost
S100A12	glmBoost
C9orf66	glmBoost
WDR41	glmBoost
MMP8	glmBoost
TSHZ3	glmBoost
KLRG1	glmBoost+Enet[alpha=0.5]
KLRB1	glmBoost+Enet[alpha=0.5]
IFI27	glmBoost+Enet[alpha=0.5]
SIPA1L2	glmBoost+Enet[alpha=0.5]
CEACAM6	glmBoost+Enet[alpha=0.5]
HP	glmBoost+Enet[alpha=0.5]
S100A12	glmBoost+Enet[alpha=0.5]
C9orf66	glmBoost+Enet[alpha=0.5]
WDR41	glmBoost+Enet[alpha=0.5]
MMP8	glmBoost+Enet[alpha=0.5]
TSHZ3	glmBoost+Enet[alpha=0.5]
KLRG1	Enet[alpha=0.6]
KLRB1	Enet[alpha=0.6]
IFI27	Enet[alpha=0.6]
SIPA1L2	Enet[alpha=0.6]
CEACAM6	Enet[alpha=0.6]
HP	Enet[alpha=0.6]
S100A12	Enet[alpha=0.6]
C9orf66	Enet[alpha=0.6]
WDR41	Enet[alpha=0.6]
SERPING1	Enet[alpha=0.6]
MMP8	Enet[alpha=0.6]
TSHZ3	Enet[alpha=0.6]
KLRG1	glmBoost+Enet[alpha=0.6]
KLRB1	glmBoost+Enet[alpha=0.6]
IFI27	glmBoost+Enet[alpha=0.6]
SIPA1L2	glmBoost+Enet[alpha=0.6]
CEACAM6	glmBoost+Enet[alpha=0.6]
HP	glmBoost+Enet[alpha=0.6]
S100A12	glmBoost+Enet[alpha=0.6]
C9orf66	glmBoost+Enet[alpha=0.6]
WDR41	glmBoost+Enet[alpha=0.6]
MMP8	glmBoost+Enet[alpha=0.6]
TSHZ3	glmBoost+Enet[alpha=0.6]
KLRG1	glmBoost+Enet[alpha=0.7]
KLRB1	glmBoost+Enet[alpha=0.7]
IFI27	glmBoost+Enet[alpha=0.7]
