"samplename"	"Cohort"	"y"	"prob"
"GSM1276026"	"GSE52790"	1	0.260609743062493
"GSM1276027"	"GSE52790"	1	0.18516143516734
"GSM1276028"	"GSE52790"	1	0.281370216903054
"GSM1276029"	"GSE52790"	1	0.375639068532774
"GSM1276030"	"GSE52790"	1	0.124966061345806
"GSM1276031"	"GSE52790"	1	0.154629332331413
"GSM1276032"	"GSE52790"	1	0.487413527110539
"GSM1276033"	"GSE52790"	1	0.300640934526715
"GSM1276034"	"GSE52790"	1	0.226247187458089
"GSM1276035"	"GSE52790"	1	0.120861238840602
"GSM1276036"	"GSE52790"	0	0.150158293661792
"GSM1276037"	"GSE52790"	0	0.160469985442222
"GSM1276038"	"GSE52790"	0	0.078763477120461
"GSM1276039"	"GSE52790"	0	0.0858170664687432
"GSM1276040"	"GSE52790"	0	0.118405102472252
"GSM1276041"	"GSE52790"	0	0.13598896855025
"GSM1276042"	"GSE52790"	0	0.402040342118348
"GSM1276043"	"GSE52790"	0	0.130380529077604
"GSM1276044"	"GSE52790"	0	0.125662540023003
"GSM1276045"	"GSE52790"	0	0.151742283179467
"GSM1276046"	"GSE52790"	0	0.10404732641009
"GSM1276047"	"GSE52790"	0	0.250013400704884
"GSM2612096"	"Train-GSE98793"	0	0.504551575058671
"GSM2612097"	"Train-GSE98793"	0	0.401596074190267
"GSM2612098"	"Train-GSE98793"	0	0.281303836215693
"GSM2612099"	"Train-GSE98793"	0	0.752552427648377
"GSM2612100"	"Train-GSE98793"	0	0.658283991390577
"GSM2612101"	"Train-GSE98793"	0	0.598121530591481
"GSM2612102"	"Train-GSE98793"	0	0.390608792427016
"GSM2612103"	"Train-GSE98793"	0	0.725042454158578
"GSM2612104"	"Train-GSE98793"	0	0.507831643595445
"GSM2612105"	"Train-GSE98793"	0	0.536921485725717
"GSM2612106"	"Train-GSE98793"	0	0.610599959404341
"GSM2612107"	"Train-GSE98793"	0	0.680064801299078
"GSM2612108"	"Train-GSE98793"	0	0.5242980564256
"GSM2612109"	"Train-GSE98793"	0	0.526174467109777
"GSM2612110"	"Train-GSE98793"	0	0.0817171030834515
"GSM2612111"	"Train-GSE98793"	0	0.955614277968877
"GSM2612112"	"Train-GSE98793"	0	0.292135394818926
"GSM2612113"	"Train-GSE98793"	0	0.622213623137758
"GSM2612114"	"Train-GSE98793"	0	0.41464981761975
"GSM2612115"	"Train-GSE98793"	0	0.864747505996389
"GSM2612116"	"Train-GSE98793"	0	0.556848961035416
"GSM2612117"	"Train-GSE98793"	0	0.402392904668271
"GSM2612118"	"Train-GSE98793"	0	0.731768652864092
"GSM2612119"	"Train-GSE98793"	0	0.65630606866191
"GSM2612120"	"Train-GSE98793"	0	0.678643358044394
"GSM2612121"	"Train-GSE98793"	0	0.081597345520613
"GSM2612122"	"Train-GSE98793"	0	0.697632594683488
"GSM2612123"	"Train-GSE98793"	0	0.266383571196734
"GSM2612124"	"Train-GSE98793"	0	0.182644114190042
"GSM2612125"	"Train-GSE98793"	0	0.800096237057241
"GSM2612126"	"Train-GSE98793"	0	0.043866470222154
"GSM2612127"	"Train-GSE98793"	0	0.581865194756998
"GSM2612128"	"Train-GSE98793"	1	0.383519869702785
"GSM2612129"	"Train-GSE98793"	1	0.732449354253743
"GSM2612130"	"Train-GSE98793"	1	0.776550307469716
"GSM2612131"	"Train-GSE98793"	1	0.703657301240022
"GSM2612132"	"Train-GSE98793"	1	0.690869450976418
"GSM2612133"	"Train-GSE98793"	1	0.467568074351979
"GSM2612134"	"Train-GSE98793"	1	0.630976786088033
"GSM2612135"	"Train-GSE98793"	1	0.866361148511083
"GSM2612136"	"Train-GSE98793"	1	0.899222125067627
"GSM2612137"	"Train-GSE98793"	1	0.778687570690431
"GSM2612138"	"Train-GSE98793"	1	0.94614201989949
"GSM2612139"	"Train-GSE98793"	1	0.847338190169267
"GSM2612140"	"Train-GSE98793"	1	0.962306663322044
"GSM2612141"	"Train-GSE98793"	1	0.959673910374812
"GSM2612142"	"Train-GSE98793"	1	0.594872504451772
"GSM2612143"	"Train-GSE98793"	1	0.903166414233508
"GSM2612144"	"Train-GSE98793"	1	0.818290260349389
"GSM2612145"	"Train-GSE98793"	1	0.368374204040095
"GSM2612146"	"Train-GSE98793"	1	0.920366155120204
"GSM2612147"	"Train-GSE98793"	1	0.877850620442292
"GSM2612148"	"Train-GSE98793"	1	0.82163145982223
"GSM2612149"	"Train-GSE98793"	1	0.605619105765464
"GSM2612150"	"Train-GSE98793"	1	0.946842731734813
"GSM2612151"	"Train-GSE98793"	1	0.717337335460097
"GSM2612152"	"Train-GSE98793"	1	0.603997757771161
"GSM2612153"	"Train-GSE98793"	1	0.759494379823659
"GSM2612154"	"Train-GSE98793"	1	0.874770977497247
"GSM2612155"	"Train-GSE98793"	1	0.881340488449052
"GSM2612156"	"Train-GSE98793"	1	0.823951037410786
"GSM2612157"	"Train-GSE98793"	1	0.748369099434892
"GSM2612158"	"Train-GSE98793"	1	0.440173309338005
"GSM2612159"	"Train-GSE98793"	1	0.708616881818669
"GSM2612160"	"Train-GSE98793"	1	0.564434850395454
"GSM2612161"	"Train-GSE98793"	1	0.95583965653384
"GSM2612162"	"Train-GSE98793"	1	0.890708414384947
"GSM2612163"	"Train-GSE98793"	1	0.849695640546811
"GSM2612164"	"Train-GSE98793"	1	0.728289891187312
"GSM2612165"	"Train-GSE98793"	1	0.78864845190034
"GSM2612166"	"Train-GSE98793"	1	0.750989776584248
"GSM2612167"	"Train-GSE98793"	1	0.354898241905355
"GSM2612168"	"Train-GSE98793"	1	0.398747027245169
"GSM2612169"	"Train-GSE98793"	1	0.900991617404041
"GSM2612170"	"Train-GSE98793"	1	0.978007591478179
"GSM2612171"	"Train-GSE98793"	1	0.99836101737772
"GSM2612172"	"Train-GSE98793"	1	0.426297841406605
"GSM2612173"	"Train-GSE98793"	1	0.972072086265481
"GSM2612174"	"Train-GSE98793"	1	0.995339309690321
"GSM2612175"	"Train-GSE98793"	1	0.683975594697462
"GSM2612176"	"Train-GSE98793"	1	0.913665074386607
"GSM2612177"	"Train-GSE98793"	1	0.954891601990522
"GSM2612178"	"Train-GSE98793"	1	0.910733264971445
"GSM2612179"	"Train-GSE98793"	1	0.441847049534605
"GSM2612180"	"Train-GSE98793"	1	0.640234518589753
"GSM2612181"	"Train-GSE98793"	1	0.717200538830898
"GSM2612182"	"Train-GSE98793"	1	0.700855545374315
"GSM2612183"	"Train-GSE98793"	1	0.566171150151504
"GSM2612184"	"Train-GSE98793"	1	0.963659833532119
"GSM2612185"	"Train-GSE98793"	1	0.888819018058445
"GSM2612186"	"Train-GSE98793"	1	0.435822625827902
"GSM2612187"	"Train-GSE98793"	1	0.542500354473623
"GSM2612188"	"Train-GSE98793"	1	0.972667301098417
"GSM2612189"	"Train-GSE98793"	1	0.931304355069301
"GSM2612190"	"Train-GSE98793"	1	0.498645085160518
"GSM2612191"	"Train-GSE98793"	1	0.577988104453317
"GSM2612192"	"Train-GSE98793"	0	0.568294647583941
"GSM2612193"	"Train-GSE98793"	1	0.888527243940851
"GSM2612194"	"Train-GSE98793"	1	0.724302899511274
"GSM2612195"	"Train-GSE98793"	1	0.401978861192787
"GSM2612196"	"Train-GSE98793"	1	0.634963877299909
"GSM2612197"	"Train-GSE98793"	0	0.519839859529389
"GSM2612198"	"Train-GSE98793"	1	0.821895887459852
"GSM2612199"	"Train-GSE98793"	0	0.660234970096291
"GSM2612200"	"Train-GSE98793"	1	0.965825520762793
"GSM2612201"	"Train-GSE98793"	1	0.613453932394612
"GSM2612202"	"Train-GSE98793"	1	0.818988975082286
"GSM2612203"	"Train-GSE98793"	0	0.479529535225033
"GSM2612204"	"Train-GSE98793"	1	0.476470370145427
"GSM2612205"	"Train-GSE98793"	1	0.965442181426194
"GSM2612206"	"Train-GSE98793"	0	0.618893027515414
"GSM2612207"	"Train-GSE98793"	1	0.799037049566135
"GSM2612208"	"Train-GSE98793"	1	0.565486551346755
"GSM2612209"	"Train-GSE98793"	1	0.968261968436735
"GSM2612210"	"Train-GSE98793"	1	0.436598103781766
"GSM2612211"	"Train-GSE98793"	1	0.675423877259204
"GSM2612212"	"Train-GSE98793"	1	0.498915214925745
"GSM2612213"	"Train-GSE98793"	1	0.90876893399761
"GSM2612214"	"Train-GSE98793"	1	0.806934997557823
"GSM2612215"	"Train-GSE98793"	1	0.611423131798345
"GSM2612216"	"Train-GSE98793"	0	0.570925340746399
"GSM2612217"	"Train-GSE98793"	0	0.712990110077838
"GSM2612218"	"Train-GSE98793"	0	0.286650454250109
"GSM2612219"	"Train-GSE98793"	1	0.690430454771854
"GSM2612220"	"Train-GSE98793"	1	0.834467355258497
"GSM2612221"	"Train-GSE98793"	1	0.711582978723262
"GSM2612222"	"Train-GSE98793"	1	0.713499761731999
"GSM2612223"	"Train-GSE98793"	1	0.888732594783284
"GSM2612224"	"Train-GSE98793"	1	0.841338398718449
"GSM2612225"	"Train-GSE98793"	1	0.800914318326796
"GSM2612226"	"Train-GSE98793"	1	0.11400534593809
"GSM2612227"	"Train-GSE98793"	0	0.28460450978058
"GSM2612228"	"Train-GSE98793"	1	0.999382542304129
"GSM2612229"	"Train-GSE98793"	1	0.700046031476578
"GSM2612230"	"Train-GSE98793"	0	0.543560578625483
"GSM2612231"	"Train-GSE98793"	1	0.725624798427175
"GSM2612232"	"Train-GSE98793"	1	0.836669718480688
"GSM2612233"	"Train-GSE98793"	0	0.815237318305433
"GSM2612234"	"Train-GSE98793"	0	0.690326906788702
"GSM2612235"	"Train-GSE98793"	1	0.766858716949535
"GSM2612236"	"Train-GSE98793"	0	0.358307884800322
"GSM2612237"	"Train-GSE98793"	0	0.610857055743408
"GSM2612238"	"Train-GSE98793"	0	0.470744116937962
"GSM2612239"	"Train-GSE98793"	0	0.535628914604199
"GSM2612240"	"Train-GSE98793"	1	0.190844474127862
"GSM2612241"	"Train-GSE98793"	0	0.507721878256216
"GSM2612242"	"Train-GSE98793"	1	0.475486280966324
"GSM2612243"	"Train-GSE98793"	1	0.447542212723808
"GSM2612244"	"Train-GSE98793"	1	0.866841931252635
"GSM2612245"	"Train-GSE98793"	0	0.413455283896792
"GSM2612246"	"Train-GSE98793"	1	0.631099933004995
"GSM2612247"	"Train-GSE98793"	1	0.37781037124803
